"headline","link"
"Retired nun 'sad' that Cardinal Mahony will vote on next pope","http://latimesblogs.latimes.com/lanow/2013/02/cardinal-mahony-pope-reaction.html"
"Cardinal Mahony used cemetery money to pay sex abuse settlement","http://www.latimes.com/news/local/la-me-church-cemetery-fund-20130210,0,1768358.story"
"L.A. archbishop calls pope's retirement an 'act of humility'","http://latimesblogs.latimes.com/lanow/2013/02/la-archbishop-pope-retirement.html"
"Cardinal Mahony says he wasn't equipped to handle priest abuse","http://latimesblogs.latimes.com/lanow/2013/02/cardinal-mahony-priest-abuse.html"
"Cardinal Mahony's removal not enough, church critics say","http://latimesblogs.latimes.com/lanow/2013/02/cardinal-mahonys-removal-not-enough-church-critics-say.html"
"Cardinal Mahony's priest abuse defense sparks criticism","http://latimesblogs.latimes.com/lanow/2013/02/cardinal-mahonys-priest-abuse-defense-sparks-criticism.html"
"Cardinal Mahony removed from public church duties","http://latimesblogs.latimes.com/lanow/2013/01/cardinal-mahony-stripped-of-public-church-duties-amid-priest-abuse-.html"
"Rebuke of Cardinal Mahony casts a lengthy shadow at L.A. churches","http://latimesblogs.latimes.com/lanow/2013/02/cardinal-mahony-los-angeles-churches.html"
"Steve Lopez: How can Mahony still be a priest 'in good standing'?","http://latimesblogs.latimes.com/lanow/2013/02/steve-lopez-cardinal-mahony-abuse.html"
"Cardinal Mahony rebuked as more 'brutal' priest abuse files released","http://latimesblogs.latimes.com/lanow/2013/02/cardinal-mahony-priest-abuse-files.html"
"Archbishop takes action on Mahony, Curry over abuse scandal","http://latimesblogs.latimes.com/lanow/2013/01/archbishop-takes-action-on-mahony-curry-over-abuse-scandal.html"
"Church abuse: Action against Cardinal Mahony 'extraordinary'","http://latimesblogs.latimes.com/lanow/2013/01/church-abuse-action-against-cardinal-mahony-extraordinary.html"
"L.A. Now Live: Discuss priest abuse, Cardinal Mahony's legacy","http://latimesblogs.latimes.com/lanow/2013/02/la-now-live-feb-1.html"
"Mahony defends actions in abuse cases","http://www.latimes.com/news/local/la-me-mahony-church-20130202,0,5622288.story"
"Cardinal Mahony's deal with the devil","http://www.latimes.com/news/local/la-me-0203-lopez-mahony-20130203,0,612758.column"
"Cardinal Mahony relieved of duties over handling of abuse","http://www.latimes.com/news/local/la-me-0201-mahony-curry-20130201,0,3889565.story"
"A sudden fall for Cardinal Mahony's former right-hand man","http://www.latimes.com/news/local/la-me-adv-church-curry-20130203,0,5584406.story"
"Letters: Cardinal Mahony's shaky defense","http://www.latimes.com/news/opinion/letters/la-le-0205-tuesday-mahony-defense-20130205,0,5957901.story"
"A somber mood as parishioners discuss action against Mahony","http://www.latimes.com/news/local/la-me-church-react-20130201,0,1148545.story"
"Action against Cardinal Mahony: Readers aren't impressed","http://www.latimes.com/news/opinion/opinion-la/la-ol-mahony-gomez-mailbag-20120201,0,705928.story"
"'I am sorry,' Cardinal Mahony says amid new priest abuse details","http://latimesblogs.latimes.com/lanow/2013/01/cardinal-mahony-priest-abuse-details.html"
"Steve Lopez: It's too late for Cardinal Roger Mahony's apologies","http://latimesblogs.latimes.com/lanow/2013/01/steve-lopez-roger-mahony.html"
"Cardinal Mahony letter to Archbishop Gomez","http://documents.latimes.com/cardinal-mahony-letter-archbishop-gomez/"
