bill_id,chamber,sponsor,sponsor_party,filter_status,legislation_status,bill_category,short_title,julies_summary
SB 396,Senate,Hancock,democrat,Shelved,Ordered to inactive file on request of Assembly on Sept. 12.,Ammunition‎,Bans possession of high capacity magazines defined as capable of holding more than ten rounds,California law already bans the purchase or sale of these magazines.  This bill would also prohibit possession.
SB 47,Senate,Yee,democrat,Shelved,Passed the Senate on May 29. Hearing postponed by Assembly commitee on Aug. 30.,Ammunition‎,Bans bullet buttons  ,"Expands California's assault weapon's ban to include semi-automatic rifles with a built-in ""bullet button"" that can be used to modify the weapon to use detachable rounds of ammunition."
AB 760,Assembly,Dickinson,democrat,Shelved,Held in committee.,Ammunition‎,Tax on ammunition,Imposes 5-cent tax on each bullet sold in California to fund a program that screens K-3 children for mental illness. 
SB 53,Senate,De Leon,democrat,Shelved,Passed the Senate on May 29. Re-referred to Assembly Standing Committee on Public Safety on Sept. 11.,"Ammunition‎, Background Checks",Requires permit and background check to purchase ammunition,Anyone who wants to purchase ammunition in California would have to get a permit.  Vendors would also need a permit to sell.
AB 48,Assembly,Skinner,democrat,Enacted,Assembly passed on May 29. Senate passed on Sept. 10. Governor signed on Oct. 11,"Ammunition‎, Firearm Models",Restricts ammo sales,"This bill makes it a misdemeanor to knowingly manufacture, import, keep, sell, give or lend any device that is capable of converting an ammunition feeding device into a large-capacity magazine. The bill redefines ""large-capacity magazine"" to mean any ammunition feeding device that can accept more than 10 rounds. Punishment: a fine of up to $1,000 and/or up to six months in county jail."
SB 374,Senate,Steinberg,democrat,Vetoed,Senate passed on May 29. Assembly passed on Sept. 10. Governor vetoed on Oct. 11.,"Ammunition‎, Firearm Models","Bans future sale of rifles with detachable magazines, expands registration of handguns and assault weapons",Expands the state's ban on assault weapons to include semi-automatic rifles that can take detachable magazines that allow for rapid reloading.
SB 567,Senate,Jackson,democrat,Vetoed,Passed the Senate on May 29. Assembly passed on Sept. 11. Governor vetoed on Oct. 11.,Firearm Models,Adds shotguns with rifled bores and revolving cylinders to list of prohibited weapons,Expands California's assault weapons ban to include shotguns with rifled bores and revolving cylinders that increase the shooter's accuracy at longer ranges.
SB 475,Senate,Leno,democrat,Active,Senate passed on May 2. Assembly passed on Sept. 6. Presented to Governor on Sept. 12.,Gun Sales,Requires approval by Boards of Supervisors of both SF and San Mateo Counties to allow gun shows at the Cow Palace ,In effect bans gun shows from SF venue.
AB 169,Assembly,Dickinson,democrat,Vetoed,Assembly passed on May 2. Senate passed on Sept. 9. Governor vetoed on Oct. 11.,Gun Sales,Stops transfer of non-roster guns,"The bill would get rid of a state exemption that allows people to freely sell, loan and transfer rare guns or guns over 50-years-old. The guns must be small enough that they cannot be concealed on a person and are not machine guns. Motion picture, TV and video productions would still be allowed to borrow or rent these guns as props through a licensed dealer."
SB 140,Senate,Leno/Steinberg,democrat,Enacted,Signed into law May 1.,"Gun Sales, Background Checks","Appropriates $24,000,000 from the Dealers' Record of Sale Special Account to the Department of Justice to address the backlog in the Armed Prohibited Persons System","The bill funds additional DOJ agents to confiscate guns from 20,000 people who purchased them legally, but then lost the right to own them when they committed certain misdemeanors or were diagnosed with a serious mental illness. DOJ estimates 3,000 people become prohibited from owning guns every year. Once on the list a person remains prohibited for a decade.
"
AB 500,Assembly,Ammiano,democrat,Enacted,Assembly passed on May 29. Senate passed on Sept. 9. Governor signed on Oct. 11,"Gun Sales, Possession",Increases DOJ oversight of gun sales and requires safe storage of guns when prohibited person lives in home,"This bill would extend the number of days the Department of Justice can take to conduct background checks, as long as the agency notifies the licensed firearms dealer.  It would also require dealers to notify DOJ when someone who applied to purchase a gun actually takes possession of it. Currently the state is only informed when someone applies for a background check to purchase a gun. The bill would also require a gun owner who lives with someone who is prohibited from possessing a firearm to keep their weapons locked up and disabled by a safety device. The bill would make it a misdemeanor to violate the law."
AB 685,Assembly,Achadjian,republican,Enacted,Signed into law June 24.,"Gun Sales, Possession",State Goods: Peace Officer’s State Issued Handgun,Existing law lets a retired peace officer purchase his or her state-issued handgun. This bill would allow the spouse or domestic partner of a peace officer who died in the line of duty to purchase their state-issued handgun.
