position,common_reference,full_name,first_name,last_name,bioguide_id,party,district_id,district,full_reference,image_url
Rep.,Congresswoman,Karen Bass,Karen,Bass,B001270,D,37,Los Angeles,Congresswoman Karen Bass - (D-Los Angeles),/legacy/assethost/i/3ee347387ef2978f9365d85bc1d86d1e/54579-wide.jpg
Rep.,Congressman,Xavier Becerra,Xavier,Becerra,B000287,D,34,Los Angeles,Congressman Xavier Becerra - (D-Los Angeles),/legacy/assethost/i/79c79633804a925228f00fd1aa7136e2/54596-wide.jpg
Rep.,Congressman,Ami Bera,Ami,Bera,B001287,D,7,Sacramento,Congressman Ami Bera - (D-Sacramento),/legacy/assethost/i/f036f51e514ea2d99bdad1e58e09eb27/54548-wide.jpg
Sen.,U.S. Senator,Barbara Boxer,Barbara,Boxer,B000711,D,,California,U.S. Senator Barbara Boxer - (D-California),/legacy/assethost/i/7fa2ec4d317dc35efad1109dcf87bd5f/54550-wide.jpg
Rep.,Congresswoman,Julia Brownley,Julia,Brownley,B001285,D,26,Ventura,Congresswoman Julia Brownley - (D-Ventura),/legacy/assethost/i/3f38355a9c7dcee8ff2ba837190fe908/54578-wide.jpg
Rep.,Congressman,Ken Calvert,Ken,Calvert,C000059,R,42,Riverside,Congressman Ken Calvert - (R-Riverside),/legacy/assethost/i/5c00f39554b87f7bd39f3cdf187fbc97/54581-wide.jpg
Rep.,Congressman,John Campbell,John,Campbell,C001064,R,45,Irvine,Congressman John Campbell - (R-Irvine),/legacy/assethost/i/80b1d143c32e43513fd0e0a28738be04/54577-wide.jpg
Rep.,Congresswoman,Lois Capps,Lois,Capps,C001036,D,24,Santa Barbara,Congresswoman Lois Capps - (D-Santa Barbara),/legacy/assethost/i/a92aee5fd6f204ce2cbd8869b3df5a54/54583-wide.jpg
Rep.,Congressman,Tony Cardenas,Tony,Cardenas,,D,29,"North Hollywood, Sun Valley","Congressman Tony Cardenas - (D-North Hollywood, Sun Valley)",/legacy/assethost/i/ad4fc5e07d392a3ed73d09a18c30d383/54600-wide.jpg
Rep.,Congresswoman,Judy Chu,Judy,Chu,C001080,D,27,El Monte,Congresswoman Judy Chu - (D-El Monte),/legacy/assethost/i/fd1c480643e245f27da27f42b394eb1e/54576-wide.jpg
Rep.,Congressman,Paul Cook,Paul,Cook,C001094,R,8,Barstow,Congressman Paul Cook - (R-Barstow),/legacy/assethost/i/c8728234b0f74399f7d839223a7db51c/54590-wide.jpg
Rep.,Congressman,Jim Costa ,Jim,Costa,C001059,D,16,Fresno,Congressman Jim Costa  - (D-Fresno),/legacy/assethost/i/51022a0fbd89bb9fa725993d01646f6d/54573-wide.jpg
Rep,Congresswoman,Susan Davis,Susan,Davis,D000598,D,53,San Diego,Congresswoman Susan Davis - (D-San Diego),/legacy/assethost/i/1dbdab2378e28ab9926d1f8f32b64206/54594-wide.jpg
Rep.,Congressman,Jeff Denham,Jeff,Denham,D000612,R,10,Fresno,Congressman Jeff Denham - (R-Fresno),/legacy/assethost/i/51bf14333cc5d689a95fc348c1aa29f0/54571-wide.jpg
Rep.,Congresswoman,Anna Eshoo,Anna,Eshoo,E000215,D,18,Palo Alto,Congresswoman Anna Eshoo - (D-Palo Alto),/legacy/assethost/i/705804ea1579455f3a999ddac15874cd/54549-wide.jpg
Rep.,Congressman,Sam Farr,Sam,Farr,F000030,D,20,Santa Cruz,Congressman Sam Farr - (D-Santa Cruz),/legacy/assethost/i/9ffdfd15b288cf4ce76a9ab266ae6683/54592-wide.jpg
Sen.,U.S. Senator,Dianne Feinstein,Dianne,Feinstein,F000062,D,,California,U.S. Senator Dianne Feinstein - (D-California),/legacy/assethost/i/09c690ebd714f0ea64794e7e60903a01/54558-wide.jpg
Rep.,Congressman,John Garamendi,John,Garamendi,G000559,D,3,Walnut Creek,Congressman John Garamendi - (D-Walnut Creek),/legacy/assethost/i/83d2b8caefccf37645d342eb924074a8/54574-wide.jpg
Rep.,Congresswoman,Janice Hahn,Janice,Hahn,H001063,D,44,San Pedro,Congresswoman Janice Hahn - (D-San Pedro),/legacy/assethost/i/63daecf2103870bb4a3b65ab9c00d4e7/54601-lead.jpg
Rep.,Congressman,Mike Honda,Mike,Honda,H001034,D,17,San Jose,Congressman Mike Honda - (D-San Jose),/legacy/assethost/i/a0c48f716f843ebe6aecf5f34f0aa327/54587-wide.jpg
Rep.,Congressman,Jared Huffman,Jared,Huffman,H001068,D,2,San Rafael,Congressman Jared Huffman - (D-San Rafael),/legacy/assethost/i/cdd375f352c67bfb6c75c2574c577588/54569-wide.jpg
Rep.,Congressman,Duncan Hunter,Duncan,Hunter,H001048,R,50,El Cajon,Congressman Duncan Hunter - (R-El Cajon),/legacy/assethost/i/4f84a47b400c3cb0751132557b3d0a9c/54560-wide.jpg
Rep.,Congressman,Darrell Issa,Darrell,Issa,I000056,R,49,Vista,Congressman Darrell Issa - (R-Vista),/legacy/assethost/i/6b3c6712bbbb095febdf8c2daa21a3d9/54557-wide.jpg
Rep.,Congressman,Doug LaMalfa,Doug,LaMalfa,L000578,R,1,Redding,Congressman Doug LaMalfa - (R-Redding),/legacy/assethost/i/3f97d3eb5edda9855920f9d41910fb28/54561-wide.jpg
Rep.,Congreswoman,Barbara Lee,Barbara,Lee,L000551,D,13,Oakland,Congreswoman Barbara Lee - (D-Oakland),/legacy/assethost/i/6ec1cc8b4e6bcbca5b4d075b595d1d3d/54551-wide.jpg
Rep.,Congresswoman,Zoe Lofgren,Zoe,Lofgren,L000397,D,19,San Jose,Congresswoman Zoe Lofgren - (D-San Jose),/legacy/assethost/i/7f5dc9362f2f29325ce012439d36fef8/54597-wide.jpg
Rep,Congressman,Alan Lowenthal,Alan,Lowenthal,L000579,D,47,Long Beach,Congressman Alan Lowenthal - (D-Long Beach),/legacy/assethost/i/7acbfa2dd4d5410522d0aecfaef99f74/54547-wide.jpg
Rep.,Congresswoman,Doris Matsui,Doris,Matsui,M001163,D,6,Sacramento,Congresswoman Doris Matsui - (D-Sacramento),/legacy/assethost/i/433d358ae89143098335236a5d51c989/54559-wide.jpg
