chamber,gender,role,id,first_name,middle_name,last_name,image_url,date_of_birth,issue,name,party,state,district,url,statement_status,full_statement,summarized_statement,position,statement_date,statement_type,statement_url,who_reported_this
house of representatives,M,Representative,L000578,Doug,,LaMalfa,https://theunitedstates.io/images/congress/450x550/L000578.jpg,7/2/60,refugee ban,Doug LaMalfa,R,CA,1,http://lamalfa.house.gov,TRUE,"I believe that the policy of placing a temporary hold on persons from countries that are known exporters of terrorism while we reevaluate and strengthen our vetting procedures makes sense. Contrary to some partisan claims, this is not a Muslim ban - none of the countries included are in the top 5 in total Muslim population and make up only 7 of 47 majority Muslim countries.",NULL,Support,1/30/17,Statement provided to Guy Marzorati of KQED,,Chris Keller/KPCC
house of representatives,M,Representative,H001068,Jared,,Huffman,https://theunitedstates.io/images/congress/450x550/H001068.jpg,2/18/64,refugee ban,Jared Huffman,D,CA,2,http://huffman.house.gov,TRUE,"The Trump White House's actions to deny entry to all refugees and to travelers from certain Muslim countries, including people with visas and lawful permanent residents of the United States, are discriminatory and un-American. We will be fighting these unconstitutional actions in every venue, and I'll be joining many of my House and Senate colleagues to make our voices heard at the Supreme Court today. The judicial and legislative branches have a responsibility to defend and uphold the Constitution, especially when the White House does not. President Trump must withdraw this executive order, and those in Congress who are tacitly allowing this injustice to happen will be remembered for their complicity in this disgraceful episode.",NULL,Oppose,1/30/17,news release,http://huffman.house.gov/media-center/press-releases/rep-huffman-slams-president-trump-s-muslim-and-refugee-ban,Chris Keller/KPCC
house of representatives,M,Representative,G000559,John,,Garamendi,https://theunitedstates.io/images/congress/450x550/G000559.jpg,1/24/45,refugee ban,John Garamendi,D,CA,3,http://garamendi.house.gov,TRUE,"Protecting our homeland from foreign terrorist entry has always been a priority of mine. We can do so without rejecting tired and weary families who have already undergone 18 months of intense vetting, praying for peace after fleeing war. Our energy and resources are precious. We should not waste them on policies that cause chaos and heartbreak while failing to make the U.S. safer. Friday's executive order violates America's fundamental values while failing to increase our national security. We must be on guard to protect our country from terrorist threats, both foreign and domestic, but we can do so without creating a climate of fear and uncertainty. The tired and weary families who have already undergone 18 months of intense vetting deserve better than this. The greencard holders, contributing members of our society who did everything they were supposed to, deserve better than this. The translators, guides, and others who risked their lives to help America when it mattered most deserve better than this. Over the past 40 years, not one refugee from the countries listed under this ban has carried out a fatal terrorist attack in the U.S.",NULL,Oppose,1/29/17,facebook,https://www.facebook.com/repgaramendi/posts/10154548747921747,Chris Keller/KPCC
house of representatives,M,Representative,M001177,Tom,,McClintock,https://theunitedstates.io/images/congress/450x550/M001177.jpg,7/10/56,refugee ban,Tom McClintock,R,CA,4,http://mcclintock.house.gov,FALSE,No Statement,NULL,,,,,Chris Keller/KPCC
house of representatives,M,Representative,T000460,Mike,,Thompson,https://theunitedstates.io/images/congress/450x550/T000460.jpg,1/24/51,refugee ban,Mike Thompson,D,CA,5,http://mikethompson.house.gov,TRUE,"We already have a vetting system for refugees that's thorough, exhaustive, & successful. It takes 2+ years & numerous background checks. I don't want anyone entering this country who could pose a threat to Americans, but intelligence officials have said our process works. Those who apply for refugee status are children, women, & people who risked their lives helping our troops fight the war on terror. They face death and torture if they aren't granted refugee status. This is personal for me. One of my interns was a refugee from Afghanistan. He put his life on the line to help our soldiers. I did everything I could to help him build a new life in America. He's hardworking, dedicated, & we're better for having him in America. It's not right to turn our back on people. This isn't the American way.",NULL,Oppose,1/28/17,tweet,https://twitter.com/RepThompson/status/825516733003862017,Chris Keller/KPCC
house of representatives,F,Representative,M001163,Doris,,Matsui,https://theunitedstates.io/images/congress/450x550/M001163.jpg,9/25/44,refugee ban,Doris Matsui,D,CA,6,https://matsui.house.gov,TRUE,"A sweeping denial of refuge to families facing persecution and bloodshed abroad is not an effective way to protect our citizens. My first priority is always the safety of the American people, and to be clear, refugees already undergo more rigorous security screenings than any other traveler or immigrant to the U.S. President Trump's decision to target immigrants from Muslim-majority countries goes against the essential right to religious liberty that is a founding principle of our nation. We can, and we must, protect Americans while also recognizing the basic humanity of all people.",NULL,Oppose,1/27/17,news release,https://matsui.house.gov/press-releases/congresswoman-matsui-statement-on-trumps-executive-order-targeting-muslims-and-refugees/,Chris Keller/KPCC
house of representatives,M,Representative,B001287,Ami,,Bera,https://theunitedstates.io/images/congress/450x550/B001287.jpg,3/2/65,refugee ban,Ami Bera,D,CA,7,http://bera.house.gov,TRUE,"This executive order is a dramatic overreach that lacks understanding of and respect for our constitution, and goes against the core of what makes us Americans. As a member of Congress, it is my duty to speak out against actions that I believe are unAmerican, and I urge my colleagues -- both Democrats and Republicans -- to do the same. Law-abiding, documented residents of our country are facing chaos and instability. The uncertainty this has created among workers, students, and at our airports is wreaking havoc on families and businesses. The message this sends internationally does not reflect who we are as a nation of immigrants -- we do not close our doors to those who are fleeing persecution, or target people based on their faith. Since being elected, my office and I have helped constituents navigate a wide range of immigration issues, and we are here to continue to help. Contact us at bera.house.gov.",NULL,Oppose,1/29/17,news release,https://bera.house.gov/media-center/press-releases/rep-ami-bera-statement-on-executive-order-affecting-immigrants-and,Chris Keller/KPCC
house of representatives,M,Representative,C001094,Paul,,Cook,https://theunitedstates.io/images/congress/450x550/C001094.jpg,3/3/43,refugee ban,Paul Cook,R,CA,8,http://cook.house.gov,FALSE,No Statement,NULL,,,,,Chris Keller/KPCC
house of representatives,M,Representative,M001166,Jerry,,McNerney,https://theunitedstates.io/images/congress/450x550/M001166.jpg,6/18/51,refugee ban,Jerry McNerney,D,CA,9,http://mcnerney.house.gov,FALSE,No Statement,NULL,,,,,Chris Keller/KPCC
house of representatives,M,Representative,D000612,Jeffrey,,Denham,https://theunitedstates.io/images/congress/450x550/D000612.jpg,7/29/67,refugee ban,Jeffrey Denham,R,CA,10,http://denham.house.gov,TRUE,"Safety & security of our communities come 1st, but the way this EO is playing out has created a lot of uncertainty/unintended consequences. As we have seen with previous administrations, executive orders are not the way to resolve ongoing problems.",NULL,Non-committal,1/29/17,tweet,https://twitter.com/RepJeffDenham/status/825810178268360704,Chris Keller/KPCC
