Date,Strong El Niño years,Median year,2015-2016
10/1/15,0,0.2,0
10/2/15,0,0.24,0
10/3/15,0,0.26,0.01
10/4/15,0,0.34,1.52
10/5/15,0,0.45,2.2
10/6/15,0,0.55,2.25
10/7/15,0.01,0.62,2.25
10/8/15,0.01,0.66,2.25
10/9/15,0.01,0.69,2.25
10/10/15,0.06,0.76,2.25
10/11/15,0.19,0.92,2.25
10/12/15,0.19,1,2.25
10/13/15,0.19,1.07,2.25
10/14/15,0.48,1.22,2.36
10/15/15,0.48,1.26,3.31
10/16/15,0.48,1.35,4.52
10/17/15,0.48,1.57,4.52
10/18/15,0.8,1.78,4.56
10/19/15,1.3,1.93,4.59
10/20/15,1.3,2.28,4.59
10/21/15,1.3,2.38,4.59
10/22/15,1.3,2.56,4.59
10/23/15,1.3,2.75,4.59
10/24/15,1.32,2.82,4.59
10/25/15,1.32,2.94,4.59
10/26/15,1.54,3.05,4.59
10/27/15,1.88,3.32,4.59
10/28/15,1.88,3.48,4.6
10/29/15,1.88,3.64,4.6
10/30/15,2.37,3.98,4.6
10/31/15,2.63,4.21,4.6
11/1/15,2.63,4.41,4.6
11/2/15,2.63,4.53,4.87
11/3/15,2.63,4.64,5.48
11/4/15,2.63,4.77,5.85
11/5/15,2.63,4.99,5.85
11/6/15,2.73,5.31,5.85
11/7/15,3.02,5.72,5.85
11/8/15,3.04,6.11,5.85
11/9/15,3.92,6.37,5.85
11/10/15,4.16,6.85,5.9
11/11/15,8.1,7.48,5.9
11/12/15,8.79,8.02,5.9
11/13/15,8.87,8.42,5.9
11/14/15,16.37,9.02,5.9
11/15/15,16.52,9.46,6
11/16/15,18.81,9.85,6.31
11/17/15,18.86,10.27,6.31
11/18/15,18.86,10.57,6.31
11/19/15,19.95,10.95,6.31
11/20/15,19.95,11.6,6.31
11/21/15,19.95,12.21,6.31
11/22/15,19.99,12.66,6.31
11/23/15,20.05,13.01,6.31
11/24/15,20.05,13.3,6.4
11/25/15,20.05,13.69,6.64
11/26/15,20.05,14.04,6.65
11/27/15,20.05,14.19,6.7
11/28/15,20.12,14.53,6.76
11/29/15,22.52,15.13,6.76
11/30/15,28.85,15.69,6.76
12/1/15,28.85,15.95,6.76
12/2/15,28.85,16.46,6.76
12/3/15,28.85,17.02,6.76
12/4/15,34.18,17.69,6.76
12/5/15,35.07,18.35,6.76
12/6/15,35.68,19.03,6.76
12/7/15,38.38,19.59,6.76
12/8/15,40.12,19.85,6.76
12/9/15,40.47,20.12,6.76
12/10/15,40.52,20.63,6.86
12/11/15,40.54,21.08,7.8
12/12/15,40.54,21.63,7.82
12/13/15,40.54,21.91,8.37
12/14/15,40.54,22.08,9.82
12/15/15,40.54,22.44,9.82
12/16/15,43.97,22.96,9.82
12/17/15,48.23,23.54,9.82
12/18/15,48.41,24.25,9.82
12/19/15,48.41,25.14,10.52
12/20/15,48.41,25.76,11.35
12/21/15,48.41,26.39,11.44
12/22/15,48.47,27.22,12.73
12/23/15,48.47,27.64,12.96
12/24/15,48.47,28.23,12.97
12/25/15,48.47,29,13.19
12/26/15,48.49,29.53,13.19
12/27/15,48.49,30.22,13.19
12/28/15,48.49,31.17,13.26
12/29/15,48.49,32.27,13.34
12/30/15,48.49,32.82,13.34
12/31/15,48.49,33.1,13.34
1/1/16,48.49,33.32,13.34
1/2/16,48.49,33.74,13.34
1/3/16,48.49,34.22,13.35
1/4/16,48.49,34.97,13.39
1/5/16,48.49,36.03,21.28
1/6/16,48.49,37.02,29.86
1/7/16,48.49,38.06,34.76
1/8/16,48.51,38.6,34.94
1/9/16,48.51,39.36,34.97
1/10/16,49.07,40.52,35.09
1/11/16,49.07,41.42,35.09
1/12/16,49.07,42.05,35.09
1/13/16,49.13,42.76,35.09
1/14/16,49.13,43.23,35.09
1/15/16,49.13,43.75,35.09
1/16/16,50.73,44.52,35.19
1/17/16,56.02,45.13,35.2
1/18/16,60.71,45.95,35.25
1/19/16,66.66,46.65,35.7
1/20/16,66.71,47.36,36.15
1/21/16,66.72,48.05,36.15
1/22/16,66.8,49.05,36.15
1/23/16,66.8,49.92,36.2
1/24/16,67.97,50.95,36.27
1/25/16,68.6,52.18,36.27
1/26/16,70.45,53.25,36.27
1/27/16,73.25,53.92,36.27
1/28/16,73.27,54.44,36.27
1/29/16,77.22,55.08,36.27
1/30/16,77.9,55.54,36.29
1/31/16,78.48,56.25,40.11
2/1/16,79.14,56.58,41.41
2/2/16,83.89,57.09,41.41
2/3/16,94.35,57.93,41.41
2/4/16,94.76,58.51,41.41
2/5/16,95.96,58.99,41.41
2/6/16,96.96,60.11,41.41
2/7/16,98.9,60.89,41.41
2/8/16,102.36,62.03,41.41
2/9/16,102.52,63.2,41.41
2/10/16,102.52,64.38,41.41
2/11/16,112.37,65.63,41.41
2/12/16,115.49,66.53,41.41
2/13/16,118.45,67.54,41.41
2/14/16,118.78,68.37,41.41
2/15/16,119.95,68.99,41.41
2/16/16,120.03,69.63,41.41
2/17/16,120.03,70.43,42.43
2/18/16,120.03,71.1,45.11
2/19/16,120.03,72.22,45.11
2/20/16,120.04,73.21,45.11
2/21/16,120.09,74.23,45.11
2/22/16,120.12,75.12,45.11
2/23/16,120.12,76.16,45.11
2/24/16,120.68,76.89,45.11
2/25/16,120.71,77.62,45.11
2/26/16,120.72,78.25,45.11
2/27/16,123.57,79.06,45.11
2/28/16,129.59,80.53,45.11
3/1/16,130.07,82.02,45.11
3/2/16,130.51,83.1,45.25
3/3/16,130.55,83.75,45.38
3/4/16,130.55,84.53,45.38
3/5/16,130.57,85.34,46.03
3/6/16,131.52,86.11,50.41
3/7/16,133.38,86.71,53.42
3/8/16,137.31,87.46,53.84
3/9/16,138.35,87.63,53.84
3/10/16,138.36,88,53.84
3/11/16,142.26,88.6,56.67
3/12/16,143.5,88.91,57.72
3/13/16,143.64,89.34,57.75
3/14/16,143.65,89.77,57.92
3/15/16,143.65,90.48,57.92
3/16/16,143.65,91.26,57.92
3/17/16,143.65,91.86,57.92
3/18/16,143.78,92.31,57.92
3/19/16,144.08,92.82,57.98
3/20/16,150.88,93.54,57.98
3/21/16,151.73,94.17,57.98
3/22/16,153.5,94.64,58.01
3/23/16,153.5,95.09,58.01
3/24/16,153.5,95.43,58.01
3/25/16,153.5,96.24,58.05
3/26/16,153.72,96.69,58.08
3/27/16,153.97,97.23,58.13
3/28/16,154.49,97.76,58.28
3/29/16,154.55,97.99,58.46
3/30/16,154.55,98.25,58.74
3/31/16,155.28,98.67,58.74
