category,reg,year,n,turnout_eligible
Alameda,"803,728",2014,25.77,20.1
Alameda,"803,728",2010,35.3,26.54
Alameda,"803,728",2006,39.09,28.16
Alameda,"803,728",2002,34.53,24.63
Alameda,"803,728",1998,43.83,31.5
Alameda,"803,728",1994,32.58,25.65
Alameda,"803,728",1990,42.27,31.05
Alpine,766,2014,69.58,60.84
Alpine,766,2010,63.86,56.81
Alpine,766,2006,56.75,48.28
Alpine,766,2002,69.66,61.06
Alpine,766,1998,67.91,57.89
Alpine,766,1994,76.51,66.82
Alpine,766,1990,72.23,49.8
Amador,"21,200",2014,46.69,36.98
Amador,"21,200",2010,57.65,46.31
Amador,"21,200",2006,58.36,44.76
Amador,"21,200",2002,53.92,42.31
Amador,"21,200",1998,63.88,51.26
Amador,"21,200",1994,59,39.61
Amador,"21,200",1990,63.49,46.04
Butte,"119,081",2014,34.61,24.62
Butte,"119,081",2010,44.85,32.67
Butte,"119,081",2006,39.4,29.11
Butte,"119,081",2002,45.36,34.36
Butte,"119,081",1998,43.92,35.51
Butte,"119,081",1994,40.14,29.02
Butte,"119,081",1990,51.38,35.49
Calaveras,"27,263",2014,46.27,35.45
Calaveras,"27,263",2010,52.98,42.58
Calaveras,"27,263",2006,45.72,35.14
Calaveras,"27,263",2002,53.62,41.24
Calaveras,"27,263",1998,60.2,46.96
Calaveras,"27,263",1994,59.09,43.29
Calaveras,"27,263",1990,60.7,42.88
Colusa,"7,653",2014,47.14,29.35
Colusa,"7,653",2010,46.4,30.28
Colusa,"7,653",2006,52.29,36.24
Colusa,"7,653",2002,59.27,41.56
Colusa,"7,653",1998,55.93,37.07
Colusa,"7,653",1994,58.09,41.02
Colusa,"7,653",1990,63.29,41.63
Contra Costa,"528,162",2014,28.74,21.21
Contra Costa,"528,162",2010,40,29.68
Contra Costa,"528,162",2006,37.86,27.26
Contra Costa,"528,162",2002,39.15,28.6
Contra Costa,"528,162",1998,45.2,35.14
Contra Costa,"528,162",1994,35.64,28.83
Contra Costa,"528,162",1990,46.38,36.84
Del Norte,"12,398",2014,47.99,32.38
Del Norte,"12,398",2010,53.08,35.95
Del Norte,"12,398",2006,50.62,35.27
Del Norte,"12,398",2002,49.41,34.58
Del Norte,"12,398",1998,49.16,38.56
Del Norte,"12,398",1994,58.47,33.42
Del Norte,"12,398",1990,52.83,41.02
El Dorado,"106,944",2014,40.08,31.62
El Dorado,"106,944",2010,49.6,40.49
El Dorado,"106,944",2006,42.85,33.95
El Dorado,"106,944",2002,49.65,38.68
El Dorado,"106,944",1998,52.37,40.36
El Dorado,"106,944",1994,47.96,36.37
El Dorado,"106,944",1990,50.32,37.68
Fresno,"412,181",2014,26.15,18.94
Fresno,"412,181",2010,30.84,22.09
Fresno,"412,181",2006,32.45,20.55
Fresno,"412,181",2002,37.77,25.67
Fresno,"412,181",1998,42.09,28.56
Fresno,"412,181",1994,33.59,23.39
Fresno,"412,181",1990,38.56,25.8
Glenn,"11,978",2014,47.14,30.97
Glenn,"11,978",2010,53.88,37.09
Glenn,"11,978",2006,59.15,40.87
Glenn,"11,978",2002,45.78,32.1
Glenn,"11,978",1998,66.06,43.09
Glenn,"11,978",1994,59.88,39.24
Glenn,"11,978",1990,66.92,42.83
Humboldt,"75,411",2014,37.8,27.24
Humboldt,"75,411",2010,46.91,36.04
Humboldt,"75,411",2006,50.82,40.6
Humboldt,"75,411",2002,47.47,36.18
Humboldt,"75,411",1998,48.23,39.5
Humboldt,"75,411",1994,44.52,36.23
Humboldt,"75,411",1990,59.88,45.32
Imperial,"58,197",2014,30.03,18.42
Imperial,"58,197",2010,29.23,17.31
Imperial,"58,197",2006,34.02,21.92
Imperial,"58,197",2002,37.39,23.97
Imperial,"58,197",1998,48.15,32.69
Imperial,"58,197",1994,41.84,27.31
Imperial,"58,197",1990,43.09,27.79
Inyo,"9,509",2014,41.18,28.63
Inyo,"9,509",2010,57.35,41.39
Inyo,"9,509",2006,49.67,40.09
Inyo,"9,509",2002,56.88,44.14
Inyo,"9,509",1998,58.88,42.48
Inyo,"9,509",1994,64.75,50.1
Inyo,"9,509",1990,65.18,47.95
Kern,"334,435",2014,21.63,14.58
Kern,"334,435",2010,33.03,21.13
Kern,"334,435",2006,36.72,23.48
Kern,"334,435",2002,42.72,26.74
Kern,"334,435",1998,36.53,25.54
Kern,"334,435",1994,35.36,23.36
Kern,"334,435",1990,40.09,25.89
Kings,"47,420",2014,31.95,19.43
Kings,"47,420",2010,35.44,22.44
Kings,"47,420",2006,34.36,20.77
Kings,"47,420",2002,33.71,20.38
Kings,"47,420",1998,43.35,30.86
Kings,"47,420",1994,41.17,22.58
Kings,"47,420",1990,40.09,22.16
Lake,"33,987",2014,45.75,31.73
Lake,"33,987",2010,47.48,33.38
Lake,"33,987",2006,41.94,28.73
Lake,"33,987",2002,38.38,27.01
Lake,"33,987",1998,52.34,36.43
