x,y,value
Laguna Woods,Growing Grounds,0
Laguna Woods,Retail Dispensaries,0
Laguna Woods,Other Businesses,1
Lake Forest,Growing Grounds,0
Lake Forest,Retail Dispensaries,0
Lake Forest,Other Businesses,0
Los Alimitos,Growing Grounds,0
Los Alimitos,Retail Dispensaries,0
Los Alimitos,Other Businesses,0
Mission Viejo,Growing Grounds,0
Mission Viejo,Retail Dispensaries,0
Mission Viejo,Other Businesses,0
Newport Beach,Growing Grounds,0
Newport Beach,Retail Dispensaries,0
Newport Beach,Other Businesses,0
Orange,Growing Grounds,0
Orange,Retail Dispensaries,0
Orange,Other Businesses,0
Placentia,Growing Grounds,0
Placentia,Retail Dispensaries,0
Placentia,Other Businesses,0
R. Sta. Margarita,Growing Grounds,0
R. Sta. Margarita,Retail Dispensaries,0
R. Sta. Margarita,Other Businesses,0
S. J. Capistrano,Growing Grounds,0
S. J. Capistrano,Retail Dispensaries,0
S. J. Capistrano,Other Businesses,0
San Clemente,Growing Grounds,0
San Clemente,Retail Dispensaries,0
San Clemente,Other Businesses,0
Santa Ana,Growing Grounds,0
Santa Ana,Retail Dispensaries,1
Santa Ana,Other Businesses,0
Seal Beach,Growing Grounds,0
Seal Beach,Retail Dispensaries,0
Seal Beach,Other Businesses,0
Stanton,Growing Grounds,0
Stanton,Retail Dispensaries,0
Stanton,Other Businesses,0
Tustin,Growing Grounds,0
Tustin,Retail Dispensaries,0
Tustin,Other Businesses,0
Villa Park,Growing Grounds,0
Villa Park,Retail Dispensaries,0
Villa Park,Other Businesses,0
Westminster,Growing Grounds,0
Westminster,Retail Dispensaries,0
Westminster,Other Businesses,0
Yorba Linda,Growing Grounds,0
Yorba Linda,Retail Dispensaries,0
Yorba Linda,Other Businesses,0
