year	category	n
2005	Alameda	5.75
2006	Alameda	5.51
2007	Alameda	6.45
2008	Alameda	6.44
2009	Alameda	6.1
2010	Alameda	6.23
2011	Alameda	6.45
2012	Alameda	5.86
2013	Alameda	6.5
2014	Alameda	6.56
2005	Amador	4.69
2006	Amador	4.28
2007	Amador	4.65
2008	Amador	4.39
2009	Amador	2.71
2010	Amador	3.7
2011	Amador	4.38
2012	Amador	4.63
2013	Amador	3.04
2014	Amador	4.21
2005	Butte	3.95
2006	Butte	3.61
2007	Butte	2.97
2008	Butte	3.23
2009	Butte	3.47
2010	Butte	2.58
2011	Butte	3.35
2012	Butte	3.07
2013	Butte	3.2
2014	Butte	3.28
2005	Calaveras	4.68
2006	Calaveras	4.87
2007	Calaveras	3.98
2008	Calaveras	4.26
2009	Calaveras	3.09
2010	Calaveras	2.3
2011	Calaveras	1.19
2012	Calaveras	3.96
2013	Calaveras	4.01
2014	Calaveras	2.66
2005	Colusa	11.06
2006	Colusa	13.06
2007	Colusa	12.93
2008	Colusa	15.32
2009	Colusa	15.05
2010	Colusa	14.19
2011	Colusa	14.66
2012	Colusa	13.07
2013	Colusa	13.7
2014	Colusa	12.77
2005	Contra Costa	4.31
2006	Contra Costa	4.62
2007	Contra Costa	4.04
2008	Contra Costa	3.65
2009	Contra Costa	3.75
2010	Contra Costa	3.59
2011	Contra Costa	3.44
2012	Contra Costa	3.51
2013	Contra Costa	3.56
2014	Contra Costa	3.81
2005	Del Norte	5.29
2006	Del Norte	4.19
2007	Del Norte	5.99
2008	Del Norte	5.49
2009	Del Norte	4.08
2010	Del Norte	3.37
2011	Del Norte	2.65
2012	Del Norte	4.23
2013	Del Norte	5.03
2014	Del Norte	4.7
2005	El Dorado	4.39
2006	El Dorado	5.03
2007	El Dorado	4.41
2008	El Dorado	3.91
2009	El Dorado	2.63
2010	El Dorado	2.34
2011	El Dorado	2.96
2012	El Dorado	2.61
2013	El Dorado	2.24
2014	El Dorado	2.76
2005	Fresno	6.44
2006	Fresno	6.4
2007	Fresno	6.66
2008	Fresno	5.58
2009	Fresno	5.39
2010	Fresno	6.01
2011	Fresno	5.82
2012	Fresno	6.09
2013	Fresno	7.39
2014	Fresno	6.16
2005	Glenn	10.77
2006	Glenn	11.86
2007	Glenn	9.32
2008	Glenn	9.87
2009	Glenn	8.24
2010	Glenn	14.06
2011	Glenn	6.93
2012	Glenn	6.67
2013	Glenn	10.5
2014	Glenn	9.96
2005	Humboldt	4.16
2006	Humboldt	4.01
2007	Humboldt	3.53
2008	Humboldt	3.01
2009	Humboldt	2.65
2010	Humboldt	3.19
2011	Humboldt	3.61
2012	Humboldt	3.42
2013	Humboldt	3.75
2014	Humboldt	2.57
2005	Imperial	9.76
2006	Imperial	10.01
2007	Imperial	9.15
2008	Imperial	10.33
2009	Imperial	8.06
2010	Imperial	10.22
2011	Imperial	10.26
2012	Imperial	11.95
2013	Imperial	12.81
2014	Imperial	10.33
2005	Inyo	7.34
2006	Inyo	9.38
2007	Inyo	5.28
2008	Inyo	8.46
2009	Inyo	7.82
2010	Inyo	8.39
2011	Inyo	6.41
2012	Inyo	7
2013	Inyo	6.15
2014	Inyo	9.02
2005	Kern	9.66
2006	Kern	9.07
2007	Kern	9.41
2008	Kern	8.92
2009	Kern	7.68
2010	Kern	8.83
2011	Kern	8.76
2012	Kern	8.52
2013	Kern	9.19
2014	Kern	9.33
2005	Kings	8.92
2006	Kings	7.57
2007	Kings	7.55
2008	Kings	7.29
2009	Kings	7.29
2010	Kings	6.44
2011	Kings	7.71
2012	Kings	7.5
2013	Kings	8.58
2014	Kings	8.67
2005	Lake	4.67
2006	Lake	3.87
2007	Lake	6.07
2008	Lake	3.13
2009	Lake	3.97
2010	Lake	3.29
2011	Lake	3.24
2012	Lake	5.05
2013	Lake	4.89
2014	Lake	4.68
2005	Lassen	11.57
2006	Lassen	5.93
2007	Lassen	6.49
2008	Lassen	5.2
2009	Lassen	5.47
2010	Lassen	5.62
2011	Lassen	5.4
2012	Lassen	8.06
2013	Lassen	6.13
2014	Lassen	8.44
2005	Los Angeles	6.17
2006	Los Angeles	6.05
2007	Los Angeles	6.05
2008	Los Angeles	5.62
2009	Los Angeles	5.1
2010	Los Angeles	5.38
2011	Los Angeles	5.64
2012	Los Angeles	5.38
2013	Los Angeles	5.89
2014	Los Angeles	5.72
2005	Madera	7.94
2006	Madera	6.66
2007	Madera	7.68
2008	Madera	7.51
2009	Madera	6.29
2010	Madera	7.19
2011	Madera	7.47
2012	Madera	8.44
2013	Madera	5.89
2014	Madera	6.2
2005	Marin	4.36
2006	Marin	3.97
2007	Marin	4.23
2008	Marin	3.77
2009	Marin	3.95
2010	Marin	3.33
2011	Marin	3.42
2012	Marin	3.58
2013	Marin	3.58
2014	Marin	4.05
2005	Mariposa	4.2
2006	Mariposa	5.37
2007	Mariposa	1.32
2008	Mariposa	1.37
2009	Mariposa	2.85
2010	Mariposa	2.93
2011	Mariposa	1.82
2012	Mariposa	0.88
2013	Mariposa	2.09
2014	Mariposa	3.59
2005	Mendocino	6.08
2006	Mendocino	6.14
2007	Mendocino	5.93
2008	Mendocino	5.21
2009	Mendocino	5.51
2010	Mendocino	4.98
2011	Mendocino	5
2012	Mendocino	3.85
2013	Mendocino	5.71
2014	Mendocino	7.26
2005	Merced	9.24
2006	Merced	9.93
2007	Merced	9.37
2008	Merced	9.35
2009	Merced	7.52
2010	Merced	8.41
2011	Merced	9.96
2012	Merced	10.08
2013	Merced	9.11
2014	Merced	9.4
2005	Mono	8.29
2006	Mono	8.36
2007	Mono	7.25
2008	Mono	7.74
2009	Mono	4.44
2010	Mono	4.71
2011	Mono	7.43
2012	Mono	8.8
2013	Mono	6.91
2014	Mono	5.62
2005	Monterey	5.69
2006	Monterey	4.76
2007	Monterey	4.03
2008	Monterey	4.32
2009	Monterey	3.98
2010	Monterey	4.27
2011	Monterey	4.22
2012	Monterey	4.05
2013	Monterey	4.68
2014	Monterey	4.72
2005	Napa	3.46
2006	Napa	4.3
2007	Napa	5.46
2008	Napa	4.75
2009	Napa	4.47
2010	Napa	4.47
2011	Napa	4.39
2012	Napa	4.15
2013	Napa	4.61
2014	Napa	4.94
2005	Nevada	7.73
2006	Nevada	10.18
2007	Nevada	8.26
2008	Nevada	12.04
2009	Nevada	11.18
2010	Nevada	9.32
2011	Nevada	11.05
2012	Nevada	8.8
2013	Nevada	6.4
2014	Nevada	7.01
2005	Orange	5.06
2006	Orange	5.08
2007	Orange	4.93
2008	Orange	4.25
2009	Orange	3.67
2010	Orange	4.05
2011	Orange	4.25
2012	Orange	3.78
2013	Orange	3.98
2014	Orange	4.31
2005	Placer	6.29
2006	Placer	5.96
2007	Placer	5.69
2008	Placer	6.54
2009	Placer	4.76
2010	Placer	5.7
2011	Placer	5.7
2012	Placer	5.96
2013	Placer	5.87
2014	Placer	6.4
2005	Plumas	6.81
2006	Plumas	7.09
2007	Plumas	8.33
2008	Plumas	9.19
2009	Plumas	5.65
2010	Plumas	9.13
2011	Plumas	11.24
2012	Plumas	5.15
2013	Plumas	7.81
2014	Plumas	4.01
2005	Riverside	7.28
2006	Riverside	6.84
2007	Riverside	7
2008	Riverside	6.31
2009	Riverside	5.42
2010	Riverside	5.53
2011	Riverside	5.74
2012	Riverside	5.9
2013	Riverside	6.33
2014	Riverside	6.55
2005	Sacramento	4.6
2006	Sacramento	4.61
2007	Sacramento	4.55
2008	Sacramento	4.29
2009	Sacramento	3.96
2010	Sacramento	3.65
2011	Sacramento	4.22
2012	Sacramento	4.51
2013	Sacramento	4.22
2014	Sacramento	4.43
2005	San Benito	7.83
2006	San Benito	7.1
2007	San Benito	8.55
2008	San Benito	6.75
2009	San Benito	4.78
2010	San Benito	8.74
2011	San Benito	9.66
2012	San Benito	6.4
2013	San Benito	7.94
2014	San Benito	6.02
2005	San Bernardino	8.38
2006	San Bernardino	8.21
2007	San Bernardino	8.37
2008	San Bernardino	7.65
2009	San Bernardino	6.93
2010	San Bernardino	7.44
2011	San Bernardino	7.37
2012	San Bernardino	7.45
2013	San Bernardino	8.29
2014	San Bernardino	8.23
2005	San Diego	4.48
2006	San Diego	4.33
2007	San Diego	3.64
2008	San Diego	3.63
2009	San Diego	3.28
2010	San Diego	3.15
