Date,Strong El Niño years,Median year,2015-2016
10/1/15,0,0.17,0
10/2/15,0,0.2,0
10/3/15,0,0.22,0.01
10/4/15,0,0.29,1.31
10/5/15,0,0.39,1.89
10/6/15,0,0.47,1.94
10/7/15,0.01,0.54,1.94
10/8/15,0.01,0.57,1.94
10/9/15,0.01,0.59,1.94
10/10/15,0.06,0.65,1.94
10/11/15,0.17,0.79,1.94
10/12/15,0.17,0.86,1.94
10/13/15,0.17,0.92,1.94
10/14/15,0.42,1.06,2.04
10/15/15,0.42,1.08,2.84
10/16/15,0.42,1.16,3.89
10/17/15,0.42,1.36,3.89
10/18/15,0.71,1.53,3.93
10/19/15,1.1,1.66,3.95
10/20/15,1.1,1.96,3.95
10/21/15,1.1,2.05,3.95
10/22/15,1.1,2.2,3.95
10/23/15,1.1,2.37,3.95
10/24/15,1.12,2.43,3.95
10/25/15,1.12,2.53,3.95
10/26/15,1.33,2.63,3.95
10/27/15,1.61,2.86,3.95
10/28/15,1.61,2.99,3.96
10/29/15,1.61,3.13,3.96
10/30/15,2.05,3.42,3.96
10/31/15,2.27,3.63,3.96
11/1/15,2.27,3.79,3.96
11/2/15,2.27,3.9,4.19
11/3/15,2.27,4,4.71
11/4/15,2.27,4.11,5.02
11/5/15,2.27,4.3,5.02
11/6/15,2.36,4.57,5.02
11/7/15,2.61,4.92,5.02
11/8/15,2.62,5.26,5.02
11/9/15,3.36,5.49,5.03
11/10/15,3.58,5.9,5.07
11/11/15,6.98,6.45,5.07
11/12/15,7.55,6.92,5.07
11/13/15,7.63,7.26,5.07
11/14/15,14.14,7.77,5.07
11/15/15,14.28,8.15,5.15
11/16/15,16.19,8.49,5.42
11/17/15,16.23,8.85,5.42
11/18/15,16.23,9.11,5.42
11/19/15,17.25,9.44,5.42
11/20/15,17.25,10,5.42
11/21/15,17.25,10.53,5.42
11/22/15,17.28,10.92,5.42
11/23/15,17.34,11.21,5.42
11/24/15,17.34,11.47,5.5
11/25/15,17.34,11.81,5.7
11/26/15,17.34,12.1,5.71
11/27/15,17.34,12.23,5.75
11/28/15,17.4,12.53,5.8
11/29/15,19.48,13.04,5.8
11/30/15,24.94,13.53,5.8
12/1/15,24.94,13.75,5.8
12/2/15,24.94,14.2,5.8
12/3/15,24.94,14.68,5.8
12/4/15,29.55,15.26,5.8
12/5/15,30.29,15.83,5.8
12/6/15,30.84,16.41,5.8
12/7/15,33.17,16.9,5.8
12/8/15,34.67,17.12,5.8
12/9/15,34.97,17.35,5.8
12/10/15,35.01,17.79,5.89
12/11/15,35.03,18.18,6.69
12/12/15,35.03,18.65,6.7
12/13/15,35.03,18.89,7.19
12/14/15,35.03,19.04,8.42
12/15/15,35.03,19.35,8.42
12/16/15,37.94,19.8,8.42
12/17/15,41.6,20.3,8.42
12/18/15,41.75,20.92,8.42
12/19/15,41.75,21.68,9.02
12/20/15,41.75,22.22,9.74
12/21/15,41.75,22.76,9.82
12/22/15,41.8,23.47,10.92
12/23/15,41.8,23.83,11.12
12/24/15,41.8,24.35,11.13
12/25/15,41.8,25.01,11.32
12/26/15,41.82,25.47,11.32
12/27/15,41.82,26.06,11.32
12/28/15,41.82,26.89,11.38
12/29/15,41.82,27.84,11.45
12/30/15,41.82,28.31,11.45
12/31/15,41.82,28.55,11.45
1/1/16,41.82,28.74,11.45
1/2/16,41.82,29.1,11.45
1/3/16,41.82,29.51,11.45
1/4/16,41.82,30.17,11.49
1/5/16,41.82,31.08,18.31
1/6/16,41.82,31.94,25.71
1/7/16,41.82,32.83,29.9
1/8/16,41.84,33.3,30.06
1/9/16,41.84,33.96,30.09
1/10/16,42.32,34.95,30.19
1/11/16,42.32,35.73,30.19
1/12/16,42.32,36.27,30.19
1/13/16,42.38,36.89,30.19
1/14/16,42.38,37.3,30.19
1/15/16,42.38,37.74,30.19
1/16/16,43.9,38.41,30.27
1/17/16,48.46,38.93,30.28
1/18/16,52.56,39.64,30.33
1/19/16,57.66,40.24,30.72
1/20/16,57.69,40.86,31.11
1/21/16,57.7,41.45,31.11
1/22/16,57.77,42.31,31.11
1/23/16,57.77,43.07,31.15
1/24/16,58.77,43.96,31.21
1/25/16,59.3,45.02,31.21
1/26/16,60.88,45.94,31.21
1/27/16,63.19,46.52,31.21
1/28/16,63.21,46.97,31.21
1/29/16,66.65,47.52,31.21
1/30/16,67.23,47.92,31.23
1/31/16,67.75,48.53,34.55
2/1/16,68.32,48.81,35.65
2/2/16,72.48,49.26,35.65
2/3/16,81.51,49.98,35.65
2/4/16,81.87,50.48,35.65
2/5/16,82.91,50.9,35.65
2/6/16,83.78,51.86,35.65
2/7/16,85.46,52.54,35.65
