Date,Strong El Niño years,Median year,2015-2016
10/1/15,0,0.17,0
10/2/15,0,0.2,0
10/3/15,0,0.22,0.01
10/4/15,0,0.29,1.31
10/5/15,0,0.39,1.89
10/6/15,0,0.47,1.94
10/7/15,0.01,0.54,1.94
10/8/15,0.01,0.57,1.94
10/9/15,0.01,0.59,1.94
10/10/15,0.06,0.65,1.94
10/11/15,0.16,0.79,1.94
10/12/15,0.16,0.86,1.94
10/13/15,0.16,0.92,1.94
10/14/15,0.42,1.05,2.04
10/15/15,0.42,1.08,2.7
10/16/15,0.42,1.17,4.37
10/17/15,0.42,1.36,4.37
10/18/15,0.71,1.54,4.41
10/19/15,1.1,1.67,4.43
10/20/15,1.1,1.97,4.43
10/21/15,1.1,2.06,4.43
10/22/15,1.1,2.21,4.43
10/23/15,1.1,2.37,4.43
10/24/15,1.12,2.44,4.43
10/25/15,1.12,2.54,4.43
10/26/15,1.33,2.63,4.43
10/27/15,1.61,2.87,4.43
10/28/15,1.61,3,4.44
10/29/15,1.61,3.14,4.44
10/30/15,2.05,3.43,4.44
10/31/15,2.27,3.63,4.44
11/1/15,2.27,3.8,4.44
11/2/15,2.27,3.91,4.67
11/3/15,2.27,4,5.19
11/4/15,2.27,4.11,5.5
11/5/15,2.27,4.31,5.5
11/6/15,2.36,4.57,5.5
11/7/15,2.61,4.93,5.5
11/8/15,2.62,5.27,5.5
11/9/15,3.36,5.49,5.51
11/10/15,3.58,5.91,5.55
11/11/15,6.98,6.45,5.55
11/12/15,7.55,6.92,5.55
11/13/15,7.63,7.26,5.55
11/14/15,14.13,7.78,5.55
11/15/15,14.28,8.16,5.63
11/16/15,16.19,8.49,5.9
11/17/15,16.22,8.85,5.9
11/18/15,16.22,9.12,5.9
11/19/15,17.25,9.44,5.9
11/20/15,17.25,10.01,5.9
11/21/15,17.25,10.53,5.9
11/22/15,17.28,10.92,5.9
11/23/15,17.33,11.22,5.9
11/24/15,17.34,11.47,5.98
11/25/15,17.34,11.81,6.18
11/26/15,17.34,12.1,6.19
11/27/15,17.34,12.24,6.23
11/28/15,17.4,12.53,6.28
11/29/15,19.48,13.04,6.28
11/30/15,24.94,13.53,6.28
12/1/15,24.94,13.75,6.28
12/2/15,24.94,14.2,6.28
12/3/15,24.94,14.68,6.28
12/4/15,29.55,15.26,6.28
12/5/15,30.29,15.83,6.28
12/6/15,30.83,16.41,6.28
12/7/15,33.17,16.9,6.28
12/8/15,34.66,17.12,6.28
12/9/15,34.96,17.36,6.28
12/10/15,35,17.79,6.37
12/11/15,35.03,18.18,7.17
12/12/15,35.03,18.65,7.2
12/13/15,35.03,18.9,7.68
12/14/15,35.03,19.04,8.98
12/15/15,35.03,19.35,8.98
12/16/15,37.9,19.8,8.98
12/17/15,41.56,20.31,8.98
12/18/15,41.71,20.92,8.98
12/19/15,41.71,21.68,9.59
12/20/15,41.71,22.22,10.31
12/21/15,41.71,22.77,10.4
12/22/15,41.76,23.48,11.63
12/23/15,41.76,23.84,11.83
12/24/15,41.76,24.35,11.84
12/25/15,41.76,25.02,12.03
12/26/15,41.78,25.47,12.03
12/27/15,41.78,26.07,12.03
12/28/15,41.78,26.89,12.08
12/29/15,41.78,27.84,12.15
12/30/15,41.78,28.31,12.15
12/31/15,41.78,28.56,12.15
1/1/16,41.78,28.74,12.15
1/2/16,41.78,29.11,12.15
1/3/16,41.78,29.52,12.15
1/4/16,41.78,30.17,12.19
1/5/16,41.78,31.08,19.11
1/6/16,41.78,31.94,26.66
1/7/16,41.78,32.84,30.96
1/8/16,41.8,33.31,31.11
1/9/16,41.8,33.96,31.14
1/10/16,42.28,34.96,31.24
1/11/16,42.28,35.74,31.24
1/12/16,42.28,36.29,31.24
1/13/16,42.33,36.9,31.24
1/14/16,42.33,37.31,31.24
1/15/16,42.33,37.75,31.24
1/16/16,43.89,38.42,31.32
1/17/16,48.45,38.94,31.33
1/18/16,52.55,39.65,31.38
1/19/16,57.64,40.25,31.77
1/20/16,57.67,40.87,32.15
1/21/16,57.69,41.46,32.15
1/22/16,57.75,42.33,32.15
1/23/16,57.75,43.08,32.19
1/24/16,58.75,43.97,32.25
1/25/16,59.29,45.03,32.25
1/26/16,60.87,45.95,32.25
1/27/16,63.2,46.53,32.25
1/28/16,63.21,46.98,32.25
1/29/16,66.65,47.53,32.25
1/30/16,67.24,47.93,32.27
1/31/16,67.75,48.54,35.67
2/1/16,68.33,48.83,36.78
2/2/16,72.49,49.27,36.78
2/3/16,81.48,49.99,36.78
2/4/16,81.84,50.49,36.78
2/5/16,82.88,50.91,36.78
2/6/16,83.75,51.87,36.78
2/7/16,85.43,52.55,36.78
