County,Name,Code,Hispanic or Latino of Any Race,"American Indian or Alaska Native, Not Hispanic","Asian, Not Hispanic","Pacific Islander, Not Hispanic","Filipino, Not Hispanic","African American, Not Hispanic","White, Not Hispanic","Two or More Races, Not Hispanic",Not Reported,Adjusted Grade 9-12 Dropout Total,Grade 9-12 Enrollment Total,Annual Adjusted Grade 9-12 Dropout Rate
Alameda,Alameda County Office of Education,110017,130,6,15,6,1,149,42,15,1,365,1337,27.3%
Alameda,Alameda Unified,161119,16,2,21,1,4,35,17,1,1,98,3672,2.7%
Alameda,Albany City Unified,161127,6,0,3,0,0,3,5,1,1,19,1245,1.5%
Alameda,Berkeley Unified,161143,28,3,4,1,1,52,26,10,10,135,3466,3.9%
Alameda,California School for the Blind (State Special Sch,131609,0,0,0,0,0,0,0,0,0,0,58,0
Alameda,California School for the Deaf-Fremont (State Spec,131617,1,0,0,0,0,0,0,0,0,1,236,0.4%
Alameda,Castro Valley Unified,161150,12,0,1,0,0,3,3,0,0,19,3108,0.6%
Alameda,Dublin Unified,175093,4,0,0,0,0,2,2,2,0,10,1734,0.6%
Alameda,Emery Unified,161168,2,0,1,0,0,6,0,0,0,9,212,4.2%
Alameda,Fremont Unified,161176,56,2,80,3,11,11,56,4,1,224,10104,2.2%
Alameda,Hayward Unified,161192,183,5,5,7,16,74,29,5,1,325,5971,5.4%
Alameda,Livermore Valley Joint Unified,161200,41,1,3,0,0,6,31,1,1,84,4327,1.9%
Alameda,Mountain House Elementary,161218,0,0,0,0,0,0,0,0,0,0,0,**
Alameda,New Haven Unified,161242,42,0,9,6,13,21,11,4,0,106,4371,2.4%
Alameda,Newark Unified,161234,25,0,4,2,1,7,4,4,0,47,2071,2.3%
Alameda,Oakland Unified,161259,380,14,117,8,5,454,33,6,21,1038,12151,8.5%
Alameda,Piedmont City Unified,161275,2,0,0,0,0,0,2,0,0,4,831,0.5%
Alameda,Pleasanton Unified,175101,13,0,3,1,0,4,15,1,0,37,5048,0.7%
Alameda,San Leandro Unified,161291,44,3,6,2,6,26,9,0,0,96,2884,3.3%
Alameda,San Lorenzo Unified,161309,72,0,11,2,2,25,16,0,1,129,4210,3.1%
Alameda,SBE - Livermore Valley Charter,176372,0,0,0,0,0,0,0,0,0,0,0,**
Alameda,SBE - Livermore Valley Charter Preparatory High,176653,0,0,0,0,0,0,0,0,0,0,190,0
Alameda,Sunol Glen Unified,175119,0,0,0,0,0,0,0,0,0,0,0,**
Alpine,Alpine County Unified,261333,0,0,0,0,0,0,0,0,0,0,3,0
Amador,Amador County Office of Education,310033,0,0,0,0,0,1,6,0,0,7,85,8.2%
Amador,Amador County Unified,373981,7,1,0,0,1,0,20,2,0,31,1357,2.3%
Amador,CEA Amador Co,332276,0,0,0,0,0,0,0,0,0,0,30,0
Butte,Bangor Union Elementary,461382,0,0,0,0,0,0,0,0,0,0,0,**
Butte,Bayshore Elementary,4168858,0,0,0,0,0,0,0,0,0,0,14,0
Butte,Biggs Unified,461408,2,0,0,0,0,0,2,0,0,4,172,2.3%
Butte,Butte County Office of Education,410041,12,5,2,0,0,0,27,4,0,50,513,9.7%
Butte,Chico Unified,461424,24,10,6,0,0,9,74,2,3,128,4400,2.9%
Butte,Durham Unified,461432,1,0,0,0,0,0,0,0,0,1,358,0.3%
Butte,Feather Falls Union Elementary,461440,0,0,0,0,0,0,2,0,0,2,30,6.7%
Butte,Golden Feather Union Elementary,461457,1,1,0,0,0,0,2,0,0,4,12,33.3%
Butte,Gridley Unified,475507,7,1,0,0,0,0,8,0,2,18,712,2.5%
Butte,Grossmont Union High,3768130,1,0,0,0,0,0,6,0,0,7,245,2.9%
Butte,Manzanita Elementary,461499,0,0,0,0,0,0,0,0,0,0,0,**
Butte,Oroville City Elementary,461507,0,0,0,0,0,0,0,0,0,0,0,**
Butte,Oroville Union High,461515,10,6,5,1,0,5,45,0,0,72,2614,2.8%
Butte,Palermo Union Elementary,461523,0,0,0,0,0,0,0,0,0,0,0,**
Butte,Paradise Unified,461531,5,0,0,0,1,1,33,3,0,43,1383,3.1%
Butte,Pioneer Union Elementary,473379,0,0,0,0,0,0,0,0,0,0,0,**
Butte,Stockton Unified,3968676,3,2,3,0,0,3,7,0,3,21,137,15.3%
Butte,Thermalito Union Elementary,461549,0,0,0,0,0,0,0,0,0,0,0,**
Butte,West Contra Costa Unified,761796,0,0,0,0,0,0,0,0,0,0,4,0
Calaveras,Bret Harte Union High,561556,2,0,1,0,0,0,2,1,0,6,781,0.8%
Calaveras,Calaveras County Office of Education,510058,2,3,0,0,0,0,7,1,0,13,278,4.7%
Calaveras,Calaveras Unified,561564,5,0,1,0,0,1,15,1,0,23,1099,2.1%
Calaveras,Mark Twain Union Elementary,561572,0,0,0,0,0,0,0,0,0,0,0,**
Calaveras,Vallecito Union,561580,0,0,0,0,0,0,0,0,0,0,0,**
Colusa,Colusa County Office of Education,610066,0,0,0,0,0,0,0,0,0,0,15,0
Colusa,Colusa Unified,661598,20,0,0,0,0,1,6,0,0,27,435,6.2%
Colusa,Maxwell Unified,661606,2,0,0,0,0,0,1,0,0,3,128,2.3%
Colusa,Pierce Joint Unified,661614,2,0,1,0,0,0,2,0,0,5,370,1.4%
Colusa,Williams Unified,661622,11,0,0,0,0,0,2,0,0,13,383,3.4%
