carrier_id,carrier_name,carrier_location,county,details_url
PSG0030742,Viaggio Inc,"Acampos, CA",San Joaquin,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0030742' target='_blank'>Read more</a>
PSG0029207,Geo Transport Inc,"Adelanto, CA",San Bernardino,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0029207' target='_blank'>Read more</a>
PSG0030566,Odyssey Limousine Inc,"Agoura Hills, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0030566' target='_blank'>Read more</a>
PSG0029004,Victory Sedan & Limo Services,"Agoura Hills, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0029004' target='_blank'>Read more</a>
PSG0018444,Southwind Transportation,"Agua Dulce, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0018444' target='_blank'>Read more</a>
PSG0025081,Yosemite Private Tours,"Ahwahnee, CA",Madera,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0025081' target='_blank'>Read more</a>
PSG0027887,A Star Limo,"Alameda, CA",Alameda,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0027887' target='_blank'>Read more</a>
PSG0030718,A Star Limo Llc,"Alameda, CA",Alameda,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0030718' target='_blank'>Read more</a>
PSG0027063,A1 City Limo,"Alameda, CA",Alameda,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0027063' target='_blank'>Read more</a>
PSG0030058,Alajji,"Alameda, CA",Alameda,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0030058' target='_blank'>Read more</a>
PSG0029218,Alameda 2 Limo Service,"Alameda, CA",Alameda,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0029218' target='_blank'>Read more</a>
PSG0028087,Alameda City Limousine,"Alameda, CA",Alameda,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0028087' target='_blank'>Read more</a>
PSG0022841,Alameda Transportation,"Alameda, CA",Alameda,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0022841' target='_blank'>Read more</a>
PSG0030791,Aljunaidi Abdulraheem Ahmed,"Alameda, CA",Alameda,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0030791' target='_blank'>Read more</a>
PSG0024369,Americas Top Town Car And Limo Services,"Alameda, CA",Alameda,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0024369' target='_blank'>Read more</a>
PSG0011475,Bassas Limousine Service,"Alameda, CA",Alameda,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0011475' target='_blank'>Read more</a>
PSG0029954,Borana Baika Ensermu,"Alameda, CA",Alameda,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0029954' target='_blank'>Read more</a>
PSG0028839,Cardinal Point At Mariner Square,"Alameda, CA",Alameda,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0028839' target='_blank'>Read more</a>
PSG0022630,Citywide Shuttle And Limousine Service,"Alameda, CA",Alameda,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0022630' target='_blank'>Read more</a>
PSG0030225,Cnt Transportation Llc,"Alameda, CA",Alameda,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0030225' target='_blank'>Read more</a>
PSG0027998,Cosmo Limousine And Car Service,"Alameda, CA",Contra Costa,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0027998' target='_blank'>Read more</a>
PSG0029081,Echo Limousine,"Alameda, CA",Alameda,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0029081' target='_blank'>Read more</a>
PSG0029735,Ephesus Limousine Service Llc,"Alameda, CA",Alameda,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0029735' target='_blank'>Read more</a>
PSG0017509,F&M Transportation Services,"Alameda, CA",San Mateo,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0017509' target='_blank'>Read more</a>
PSG0029631,Farooq Asfandyar And Khan Saad,"Alameda, CA",Alameda,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0029631' target='_blank'>Read more</a>
PSG0028810,Father And Son Transport,"Alameda, CA",Alameda,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0028810' target='_blank'>Read more</a>
PSG0026888,Ghanem Adnan Abou,"Alameda, CA",Alameda,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0026888' target='_blank'>Read more</a>
PSG0026171,Goodwill Transportation,"Alameda, CA",Alameda,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0026171' target='_blank'>Read more</a>
PSG0023522,Greenway Transportation And Limousine Services,"Alameda, CA",San Mateo,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0023522' target='_blank'>Read more</a>
