topic,text,url
action,"As the great jurist, Oliver Wendell Holmes, once said when describing what stirs people to action:",
action,"You were alarmed, you stirred yourselves to action and victory was the outcome.",
action,"Montaigne, the great French writer of the 16th Century, in his Essay on Experience, wisely wrote: “There is little relation between our actions, which are in perpetual mutation, and fixed and immutable laws. The most desirable laws are those that are the rarest, simplest, and most general; and I even think that it would be better to have none at all than to have them in such numbers as we have.”",
affordable,California was the first in the nation to pass laws to implement President Obama’s historic Affordable Care Act.,http://www.scpr.org/news/2012/06/28/33020/us-supreme-court-ruling-moves-california-forward-p/
affordable,The ultimate costs of expanding our health care system under the Affordable Care Act are unknown.,http://www.scpr.org/news/2013/01/10/35587/governor-brown-commits-full-medical-expansion-unde/
affordable,Today I am calling for a special session to deal with those issues that must be decided quickly if California is to get the Affordable Care Act started by next January.,http://www.scpr.org/programs/take-two/2013/01/10/30030/how-will-the-ca-health-insurance-exchange-work/
authority,Subsidiarity is the idea that a central authority should only perform those tasks which cannot be performed at a more immediate or local level.,
authority,"I signed the original high speed rail Authority in 1982—over 30 years ago. In 2013, we will finally break ground and start construction.",http://www.scpr.org/news/2012/01/24/30920/governor-hopes-convince-lawmakers-fund-high-speed-/
authority,My 2013 Budget Summary lays out the case for cutting categorical programs and putting maximum authority and discretion back at the local level—with school boards.,http://www.scpr.org/programs/airtalk/2013/01/10/30037/governor-brown-releases-the-state-budget/
budget,We have wrought in just two years a solid and enduring budget.,
budget,You cast difficult votes to cut billions from the state budget.,
budget,The budget is balanced but great risks and uncertainties lie ahead.,
budget,"The federal government, the courts or changes in the economy all could cost us billions and drive a hole in the budget.",
budget,"California is back, its budget is balanced, and we are on the move.",
budget,My 2013 Budget Summary lays out the case for cutting categorical programs and putting maximum authority and discretion back at the local level—with school boards.,http://www.scpr.org/programs/airtalk/2013/01/10/30037/governor-brown-releases-the-state-budget/
carbon,"According to the latest report from the World Bank, carbon dioxide emissions are the highest in 15 million years.",
carbon,"When we think about California’s future, no long term liability presents as great a danger to our wellbeing as the buildup of carbon dioxide and other greenhouse gases in the atmosphere.",http://www.scpr.org/blogs/environment/2011/05/23/2996/ab-32-cap-and-trade-pause-brown-weigh/
carbon,We are reducing emissions as required by AB 32 and we will meet our goal of getting carbon emissions to 1990 levels by 2020.,http://www.scpr.org/blogs/environment/2012/11/19/11162/californias-carbon-market-opens-air-resources-boar/
change,"The federal government, the courts or changes in the economy all could cost us billions and drive a hole in the budget.",
change,"The key here is thoughtful change, working with the faculty and the college presidents.",
