orderid,category,awardswon,imdbpage,nominee,movieimage,predictionsource,movie,officialsite,prediction,slug,kpccsource,kpccinterview,predictionlink,trailer
1,Best Picture,,http://www.imdb.com/title/tt2179136/?ref_=nv_sr_1,Spotlight,http://a.scpr.org/i/e8a4bb54ad9c15a3f882b5d7da731c34/114160-full.jpg,Journos,,http://www.americansnipermovie.com,"American Sniper has the longest odds, with Vegas putting the war film at 75 to 1.",best-picture,KPCC's Take Two,http://www.scpr.org/programs/take-two/2015/02/10/41492/american-sniper-rings-false-for-former-army-sharps/,http://variety.com/2015/film/news/oscars-boyhood-leads-best-picture-vegas-odds-1201406034/,https://www.youtube.com/watch?v=5bP1f_1o-zo
2,Best Picture,"Producers Guild Award, DGA Award, SAG Award",http://www.imdb.com/title/tt2562232/?ref_=nv_sr_1,Birdman or (The Unexpected Virtue of Ignorance),http://a.scpr.org/i/6baae611a71fc7c26c5245a0d8c827d2/98706-full.jpg,KPCC,,http://www.birdmanthemovie.com,"<strong>THE FAVORITE</strong>: The Producers Guild Awards have been one of the most consistent predictors of Best Picture, coinciding with the Oscars for the past seven years, so Birdman winning the PGA puts it in the hunt.",best-picture,KPCC's The Frame,http://www.scpr.org/programs/the-frame/2014/09/01/39126/birdman-alejandro-gonzlez-inarritu-michael-keaton/,,https://www.youtube.com/watch?v=xwTEhzrX-n4
3,Best Picture,"Golden Globe (drama), BAFTA Award",http://www.imdb.com/title/tt1065073/?ref_=nv_sr_1,Boyhood,http://a.scpr.org/i/f199b101fb055cf859bd63692e894504/98707-full.jpg,Variety,,http://boyhoodmovie.tumblr.com,"Boyhood is the favorite, according to the Vegas odds, which put it at 2 to 5. It also won the Golden Globe for best drama, but it looks to be losing steam against Birdman.",best-picture,KPCC's Take Two,http://www.scpr.org/programs/take-two/2014/07/11/38315/richard-linklater-on-the-making-of-his-indie-epic/,http://variety.com/2015/film/news/oscars-boyhood-leads-best-picture-vegas-odds-1201406034/,https://www.youtube.com/watch?v=Y0oX0xiwOv8
4,Best Picture,,http://www.imdb.com/title/tt1020072/?ref_=nv_sr_1,Selma,http://a.scpr.org/i/56f19768d11f403afd4f29b2a02ecf09/98702-full.jpg,KPCC,,http://www.selmamovie.com,"Selma faces an uphill battle, with the film facing controversy over how it portrays President Lyndon B. Johnson, as well as director Ava DuVernay not getting a Best Director nomination.",best-picture,KPCC's Take Two,http://www.scpr.org/programs/take-two/2015/01/09/41040/the-music-of-selma-scoring-the-civil-rights-moveme/,,https://www.youtube.com/watch?v=kPgs2zshD9Y
5,Best Picture,Golden Globe (comedy/musical),http://www.imdb.com/title/tt2278388/?ref_=nv_sr_1,The Grand Budapest Hotel,http://a.scpr.org/i/a79c4ae1394bdd45eed3c82060a4ba90/98708-full.jpg,KPCC,,http://www.grandbudapesthotel.com,"The Grand Budapest Hotel could be a spoiler after getting an early awards season jumpstart at the Golden Globes, taking home best comedy/musical.",best-picture,KPCC's The Frame,http://www.scpr.org/programs/the-frame/2014/12/18/40807/ralph-fiennes-working-with-wes-anderson-was-a-drea/,,https://www.youtube.com/watch?v=G1jG8HUY4zI
6,Best Picture,,http://www.imdb.com/title/tt2084970/?ref_=nv_sr_1,The Imitation Game,http://a.scpr.org/i/5ab5a05553f2e1d4500ba28c6d2b1e38/98703-full.jpg,Vulture,,http://theimitationgamemovie.com,"""Boyhood has been strong all season, though we shouldn't count out The Imitation Game, which is peaking (with an immensely strong box-office take) only just now.""",best-picture,KPCC's The Frame,http://www.scpr.org/programs/the-frame/2014/12/04/40619/alexandre-desplat-on-scoring-the-imitation-game-we/,http://www.vulture.com/2015/01/which-oscar-nominees-will-win.html,https://www.youtube.com/watch?v=S5CjKEFb-sM
7,Best Picture,,http://www.imdb.com/title/tt2980516/?ref_=nv_sr_1,The Theory of Everything,http://a.scpr.org/i/352cc89aa9ff5ab4d57f30bcf7c3d65a/98705-full.jpg,Entertainment Weekly,,http://www.focusfeatures.com/the_theory_of_everything,"""Their delicate, detailed performances are enhanced by Anthony McCarten's unsentimental screenplay and the sure-footed direction of James Marsh.""",best-picture,KPCC's The Frame,http://www.scpr.org/programs/the-frame/2014/11/17/40241/stephen-hawking-says-the-theory-of-everything-biop/,http://www.ew.com/oscars,https://www.youtube.com/watch?v=8RHU0X5CYpU
8,Best Picture,,http://www.imdb.com/title/tt2582802/?ref_=nv_sr_1,Whiplash,http://a.scpr.org/i/67ff8ac7b5b362a68bc839f14b07bfa0/98704-full.jpg,"Entertainment Weekly, KPCC",,http://sonyclassics.com/whiplash/,"Entertainment Weekly has Whiplash as their longest of longshots. It's got a supporting actor favorite in J.K. Simmons, but lacks a Best Director nomination and is embroiled in controversy over which category its screenplay belongs in.",best-picture,KPCC's The Frame,http://www.scpr.org/programs/the-frame/2014/10/09/39765/whiplash-director-damien-chazelle-painful-virtuoso/,,https://www.youtube.com/watch?v=7d_jQycdQGo
9,Best Actor,,http://www.imdb.com/name/nm1212722/?ref_=fn_al_nm_1,Benedict Cumberbatch,http://a.scpr.org/i/38d96c60c7519507f6725cd8fd23b7f3/98712-full.jpg,Entertainment Weekly,The Imitation Game,,"""Cumberbatch unearths a deep well of vulnerability under the cold, often alienating intellect.""",best-actor,KPCC's The Frame,http://www.scpr.org/programs/the-frame/2014/11/25/40498/imitation-game-benedict-cumberbatch-motion-capture/,http://www.ew.com/oscars,https://www.youtube.com/watch?v=S5CjKEFb-sM
10,Best Actor,,http://www.imdb.com/name/nm0177896/?ref_=fn_al_nm_1,Bradley Cooper,http://a.scpr.org/i/ab1ca564d58599bd29ca1137fef19f89/98722-full.jpg,Entertainment Weekly,American Sniper,,"""The Hangover star went full Method, disappearing into his role for the duration of filming.""",best-actor,KPCC's Take Two,http://www.scpr.org/programs/take-two/2015/02/10/41492/american-sniper-rings-false-for-former-army-sharps/,http://www.ew.com/oscars,https://www.youtube.com/watch?v=5bP1f_1o-zo
