title,date,display date,photo url,caption,body,read more url
Tom Calderon elected to Assembly,11/1/1999,Nov.,http://www.water2save.com/images/tom.jpg,,Tom Calderon succeeds his brother Charles to represent State Assembly District 58. ,http://articles.latimes.com/2006/jun/01/local/me-calderon1
Ron Calderon elected to California Assembly,11/5/2002,Nov.,http://www.ourcampaigns.com/images/candidates/b5/C5492D0000-00-00.jpg,,"Ron Calderon is elected to the 58th district assembly seat, which was vacated by his brother Tom Calderon in order to run for insurance commissioner. ",http://www.ourcampaigns.com/RaceDetail.html?RaceID=288694
Tom Calderon is hired as a consultant for the Central Basin Water District,1/1/2004,2004,http://a.scpr.org/i/1699893e20b3a8a422e755007194d82e/62301-lead.jpg,,"Tom Calderon, the brother of Senator Ron Calderon, receives a lucrative contract as a consultant for the Central Basin Water Board, where he's reportedly paid $10,000 per month to advise the district.",http://articles.latimes.com/2011/jun/03/local/la-me-central-basin-20110603
Ron Calderon elected to State Senate,11/1/2006,Nov.,http://sd30.senate.ca.gov/sites/sd30.senate.ca.gov/files/images/senator_calderon_thumb.jpg,"Ronald S. Calderon is the state senator representing Bell, Bell Gardens, Commerce, Cudahy, Huntington Park, La Mirada, Los Angeles, Montebello, Norwalk, Pico Rivera, Santa Fe Springs, South El Monte, South Gate, Whittier, East La Mirada, East Los Angeles, Florence-Graham, Hacienda Heights, South Whittier and West Whittier.","Ron Calderon is elected to represent a large portion of eastern L.A. County, including the cities of Bell, Montebello, Commerce, Cudahy, Huntington Park, La Mirada, and a portion of Los Angeles",
Ron Calderon backs bill to ease restrictions on legislator-directed donations to charities,9/21/2007,Sept.,http://a.scpr.org/i/c5631ce954440bc3f3a69919b5a66092/62503-small.jpg,"State Sen. Ron Calderon, left, smiles as he walks through the Capitol with his brother, former assemblyman Charles Calderon, D-Whittier.","The bill would have increased the minimum reporting requirement from $5,000 to $7,000. Calderon withdraws it after the chairman of the Fair Political Practices Commission urges Gov. Schwarzenegger to veto it, noting that if a legislator donates money, it should be reported.",http://www.whittierdailynews.com/search/ci_6966786
FBI investigates Calderons,10/15/2007,Oct. 15,,,"The FBI begins an investigation into Ron, Tom and Charles Calderon after receiving information from the Fair Political Practices Commission. (Via FBI affidavit published by Al Jazeera America)",
"FBI meets Ron, Tom Calderon",2/1/2008,February,,,The FBI in Los Angeles joins another undercover investigation in Sacramento. Two undercover FBI agents pose as venture capitalists and meet with Ron and Tom Calderon. No are bribes solicited or accepted. (Via FBI affidavit published by Al Jazeera America),
Calderon makes donations to water board candidates,5/2/2008,May,http://a.scpr.org/i/6a453c84d37e161ee3550ae8cf77b3d7/62501-small.jpg,Central Basin Water District board members Art Chacon (L) and Phillip D. Hawkins both received donations from Ron Calderon in 2008.,"Ron Calderon makes the first of three donations, totaling $6,000, to candidates running for the Central Basin board. The money comes from his 2010 senate campaign fund. Two of the recipients, Art Chacon and Phillip Hawkins, remain on the board.",http://www.scpr.org/blogs/politics/2013/06/06/13915/calderon-brothers-have-ties-to-local-water-distric/
Ron Calderon becomes chair of Senate banking and insurance committee,12/2/2008,Dec.,http://a.scpr.org/i/e096654f82f0079d09dd0557d35e96a1/25352-lead.jpg,,"Calderon is tapped to head the influential Senate Banking Finance and Insurance Committee. The committee oversees legislation affecting financial and insurance institutions, commerce, international trade, retail credit interest rates and corporations.",http://sd30.senate.ca.gov/news/2008-12-02-senator-calderon-new-chair-banking-finance-and-insurance-committee
Congresswoman's calls for investigation of water district allegedly thwarted,1/1/2009,2009,http://a.scpr.org/i/6f2ecac40e33d6de04f44d0a0da7b690/62499-lead.jpg,,"U.S. Rep. Grace Napolitano calls for an investigation into a hike in water rates and an audit of the Central Basin Water District's spending. The district was never investigated despite, she says, Ron Calderon's assurances it would be. Napolitano told the LA Times she believes Calderon thwarted the attempt.","http://www.latimes.com/news/local/political/la-me-pc-ron-calderon-fbi-central-basin-water-district-tom-calderon-water-20130605,0,2842227.story"
Allegations of cronyism: Central Basin Water District's contract with Oldtimers Foundation,10/1/2009,Oct.,http://a.scpr.org/i/1699893e20b3a8a422e755007194d82e/62301-lead.jpg,,"A Central Basin Municipal Water District committee recommends a $1 million grant for EcoGreen, a Southern California environmental firm. But the board instead decides to award the contract to The Steelworkers Oldtimers Foundation, a nonprofit founded by former Bell mayor George Cole. Tom Calderon is a former president of the organization. EcoGreen exec Michael Francheck alleges cronyism.",http://www.scpr.org/blogs/politics/2013/06/06/13915/calderon-brothers-have-ties-to-local-water-distric/
Allegations of cronyism: Central Basin Water District's contract with Water2Save,1/1/2010,2010,http://a.scpr.org/i/1699893e20b3a8a422e755007194d82e/62301-lead.jpg,,"The Central Basin Municipal Water District district is awarded a $1 million federal research grant to work with HydroEarth, a local water management firm. But the project takes a turn when the district amends the grant and reopens the contract for bidding. The contract is instead awarded to another water management firm, Water2Save. HydroEarth executives allege the move was made because Tom Calderon is a Water2Save board member.",http://articles.latimes.com/2012/jun/02/local/la-me-corruption-libel-20120602
Ron Calderon becomes Vice Chair of Latino Legislative Caucus,12/7/2010,Dec.,http://sd30.senate.ca.gov/sites/sd30.senate.ca.gov/files/images/833ebce8-535f-45f9-a487-7a4303b15212.thumbnail.jpg,,"Calderon is unanimously elected vice-chair of the 23-member Latino Legislative Caucus, replacing Tony Mendoza, who moved up to chair the organization.",http://sd30.senate.ca.gov/news/2010-12-07-senator-calderon-becomes-new-vice-chair-california-latino-legislative-caucus
Ron Calderon introduces bill that would grant more authority to water district,2/18/2011,February,http://a.scpr.org/i/1699893e20b3a8a422e755007194d82e/62301-lead.jpg,,"Calderon introduces SB701, a bill that would have extended the reach of the Central Basin water district's authority. The bill never received a hearing in the senate.",http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201120120SB701&search_keywords=central+basin
FBI investigates other LA politicians,10/11/2011,Oct. 11,,,FBI initiates undercover investigation targeting two other politicians in LA. An undercover agent is introduced to Ron Calderon. (Via FBI affidavit published by Al Jazeera America),
Agent poses as studio executive,10/19/2011,Oct. 19,,,The FBI's undercover agent presents himself as a Hollywood executive from a film studio. (Via FBI affidavit published by Al Jazeera America),
Ron Calderon meets the FBI for lunch,2/4/2012,Feb. 4,,,Ron Calderon and the undercover agent have lunch in Los Angeles. (Via FBI affidavit published by Al Jazeera America),
Ron Calderon texts with FBI agent,2/24/2012,Feb. 24,,,Ron Calderon sents a text message to the undercover agent. “Great lunch! Thanks. Here is my cell! I am emailing u next.” (Via FBI affidavit published by Al Jazeera America),
FBI adds Ron Calderon to investigation,4/9/2012,April 9,,,FBI adds Ron Calderon as a subject of its investigation. (Via FBI affidavit published by Al Jazeera America),
Dinner with the FBI,6/11/2012,June 11,,,"The undercover agent and Ron Calderon have dinner in Pico Rivera. Ron asks the agent, who is posing as a film executive, to give his daughter a job. “I told you man, anything you can do any help you could do for my kids is, is – you know that’s, that’s diamonds for me. That’s diamonds."" (Via FBI affidavit published by Al Jazeera America)",
A job with Ron Calderon ,6/21/2012,June 21,,,"Ron Calderon says he's willing to hire the agent's girlfriend, who is actually an undercover FBI agent, to work in his office. (Via FBI affidavit published by Al Jazeera America)",
Ron Calderon asks for a job -- for his daughter,6/29/2012,June 29,,,The agent and Ron Calderon have breakfast in Montebello. Calderon says he can introduce an amendment on film tax credits to benefit the agent. Calderon also offers to write up contract so his daughter can work for the film studio. “Ronald Calderon told the (undercover agent)  it was ‘better to keep it legit.’” He then tells the agent to mail him daughter’s first paycheck. (Via FBI affidavit published by Al Jazeera America),
Ron Calderon: where's the money?,7/4/2012,July 4,,,"Ron Calderon emails agent, “Didn’t receive anything yesterday FYI.”  (Via FBI affidavit published by Al Jazeera America)",
A meeting in downtown,7/17/2012,July 17,,,The agent and Ron Calderon meet at the agent’s apartment in downtown to talk about Calderon’s daughter and the tax credit legislation. (Via FBI affidavit published by Al Jazeera America),
Calderon visits the studio,7/19/2012,July 19,,,Ron Calderon and his son visit the agent at his film studio. (Via FBI affidavit published by Al Jazeera America),
Feds ask Calderon for address,8/1/2012,Aug. 1,,,The undercover agent calls Ron Calderon to get his home address. (Via FBI affidavit published by Al Jazeera America),
First check sent for Jessica Calderon,8/2/2012,Aug. 2,,,"Agent mails Jessica Calderon's first ""paycheck."" ""Package received. Ty,"" Ron Calderon writes in an email. (Via FBI affidavit published by Al Jazeera America)",
Imagen Awards,8/10/2012,Aug. 10,,,"Ron Calderon and his wife, Ana, attend the Imagen Awards at the Beverly Hilton hotel with the agent and another undercover agent posing as his girlfriend. (Via FBI affidavit published by Al Jazeera America)",
Calderon opposes bill to give authority over groundwater management to neighboring district,8/13/2012,August,http://a.scpr.org/i/c4f7820ee62161462694bbe8cc21346c/62498-small.jpg,"Sen. Alan Lowenthal sponsored SB 1386, which Calderon opposed.",Ron Calderon votes against a bill sponsored by state Sen. Alan Lowenthal that gives the Water Replenishment District of Southern California authority over groundwater reserves in the region. The bill passed 30-4 in the Senate and was signed into law by Governor Brown.,http://www.mercurynews.com/california/ci_20615981/bill-seeks-clarify-groundwater-oversight
