title,date,display date,photo url,caption,body,read more url
Two shot in killed in Irvine,"February 3, 2013",Feb. 3,http://a.scpr.org/i/422aa7f1aec1ccf721a0d681ebe8d70a/54476-wide.jpg,Photo: Facebook,"Monica Quan, 28, and her fiancé Keith Lawrence, 27, are found shot to death in their car at an Irvine parking structure. It's later revealed that Quan, an assistant women's basketball coach at Cal State-Fullerton, is the daughter of Randal Quan, a former LAPD captain who became a lawyer in retirement and represented Christopher Dormer in front of the Board of Rights, a tribunal that ruled against Dorner at the time of his dismissal. (KPCC & AP)",http://www.scpr.org/blogs/news/2013/02/07/12449/police-3-officers-shot-riverside-county-suspect-ex/
Dorner's belongings near San Diego,"February 4, 2013",Feb. 4,"http://maps.googleapis.com/maps/api/staticmap?center=32.680563,-117.099152&zoom=12&size=300x300&maptype=roadmap&markers=color:blue%7C32.680563,-117.099152&sensor=false",Photo: Google Static Maps API,"Some of Dorner 's belongings are found in a trash bin in the San Diego-area community of National City. (AP)
",
Dorner checks into San Diego naval base,"February 5, 2013",Feb. 5,"http://maps.googleapis.com/maps/api/staticmap?center=32.685006,-117.241116&zoom=12&size=300x300&maptype=roadmap&markers=color:blue%7C32.685006,-117.241116&sensor=false",Photo: Google Static Maps API,"Dorner checks into a base hotel at Naval Base Point Loma in San Diego and leaves the next day without checking out, Navy Cmdr. Brad Fagan says. (KPCC)",
Dorner leaves Naval Base Point Loma,"February 6, 2013",Feb. 6,http://a.scpr.org/i/6c38e5149b7b993098682365f4ebd136/54715-wide.jpg,Photo: Naval Base Point Loma website,"Dorner leaves the base hotel at Naval Base Point Loma without checking out, according to Navy Cmdr. Fagan. (KPCC)",
Dorner formally named as suspect in weekend homicides,"February 6, 2013",Feb. 6,http://a.scpr.org/i/bc3edbb64b95e78b8669b0e7555b9f22/54693-wide.jpg,Photo: Facebook,"Irvine police announce they are looking for Dorner as a suspect in the killings of Quan and Lawrence, and say he implicated himself in the killings in a manifesto posted on Facebook. The LAPD releases the manifesto allegedly written by Christopher Dorner that names Asian-American, lesbian and Hispanic police officers as “high value targets.” (KNBC & AP)",http://www.nbclosangeles.com/news/local/Timeline-Ex-LAPD-Officer-Suspected-in-Shooting-Spree-Had-Sued-The-Department-190206031.html
Man tries to steal a boat from San Diego marina,"February 6, 2013",Feb. 6,"http://maps.googleapis.com/maps/api/staticmap?center=32.713698,-117.227232&zoom=13&size=300x300&maptype=roadmap&markers=color:blue%7C32.713698,-117.227232&sensor=false",Photo: Google Static Maps API,"San Diego police say a man matching Dorner's description attempted to steal a 47-foot boat from the city's Shelter Island marina at around 10:30 p.m. When the engine failed to start, the suspect tied up an 81-year-old man who was on the boat and then fled. (AP & KPCC)",http://www.scpr.org/blogs/news/2013/02/07/12449/police-3-officers-shot-riverside-county-suspect-ex/
Man fires on officers near Corona,"February 7, 2013",Feb. 7,http://a.scpr.org/i/6abbf0eeecc33ee21fcb1568d0c6f949/54672-wide.jpg,Photo: Grant Slater/KPCC,"About 1:30 a.m., two LAPD officers begin following a motorist believed to be Dorner on Interstate 15 in the Riverside County community of Corona. The motorist exits near Corona, leaves the truck and fires a shouldered weapon at the officers, who had been assigned to protect people authorities believe Dorner is targeting. One of the officers is injured. (KPCC, KTLA & AP)",http://ktla.com/2013/02/07/christoper-dorner-timeline-of-the-case/
"Riverside officer shot and killed, another wounded","February 7, 2013",Feb. 7,http://a.scpr.org/i/f74dfa5690fea3946ba736223793be3d/54688-wide.jpg,Photo: Kevin Warn/AP,"At 1:35 a.m. a man police believe is Dorner ambushes two police officers in Riverside at the corner of Magnolia and Arlington, killing a 34-year-old officer and severely wounding a 27-year-old officer. Police ask the media not to release the officers' names, to protect the families. (KPCC)",http://www.scpr.org/blogs/news/2013/02/07/12449/police-3-officers-shot-riverside-county-suspect-ex/
"LAPD badge, Dorner's ID found near San Diego Intl Airport","February 7, 2013",Feb. 7,"http://maps.googleapis.com/maps/api/staticmap?center=32.730397,-117.172966&zoom=13&size=300x300&maptype=roadmap&markers=color:blue%7C32.730397,-117.172966&sensor=false",Photo: Google Static Maps API,"About 2:30 a.m. San Diego police receive a wallet with a Los Angeles Police Department detective badge and a picture ID supposedly belonging to Christopher Dorner that a citizen found on a curb near San Diego International Airport. The citizen gave the wallet to a shuttle bus driver, who contacted police. (KPCC & KTLA)",http://ktla.com/2013/02/07/christoper-dorner-timeline-of-the-case/
Search extends to Las Vegas,"February 7, 2013",Feb. 7,"http://maps.googleapis.com/maps/api/staticmap?center=36.157835,-115.169678&zoom=9&size=300x300&maptype=roadmap&markers=color:blue%7C36.157835,-115.169678&sensor=false",Photo: Google Static Maps API,"The search for Dorner extends to the Las Vegas area. Clark County property records show Dorner owns a small two-story, three-bedroom home in a neighborhood about nine miles southwest of the Las Vegas Strip. Clark County property records show he bought the house in 2007 for about $265,000. (AP)",
Officers shoot two who are are delivering newspapers in pickup truck,"February 7, 2013",Feb. 7,http://a.scpr.org/i/9982e890b516652e41784cb4596a0de1/54679-wide.jpg,Photo: Brian Watt/KPCC,"About 5:15 a.m. two women delivering the L.A. Times are mistakenly shot by LAPD officers searching for Dorner in the 19500 block of Redbeam Avenue, Torrance police Lt. Devin Chase said. The women were in a Toyota Tundra pickup truck similar to Dorner's vehicle and taken to area hospitals. One victim had minor hand injuries. Another received a gunshot wound in the back. (L.A. Times & KPCC)",http://latimesblogs.latimes.com/lanow/2013/02/ex-cop-manhunt-newspaper-delivery-women-shot.html
Officers mistakenly shoot at a second pickup truck,"February 7, 2013",Feb. 7,"http://maps.googleapis.com/maps/api/staticmap?center=33.855057,-118.378158&zoom=14&size=300x300&maptype=roadmap&markers=color:blue%7C33.855057,-118.378158&sensor=false",Photo: Google Static Maps API,"In a second officer-involved shooting, Torrance police shoot at a pickup truck near Flagler Lane and Beryl Street at about 5:45 a.m. No injuries are reported. (L.A. Times/AP)",http://guardianlv.com/2013/02/los-angeles-police-caught-in-two-officer-involved-shootings-injuring-2-women-delivering-newspapers/
Authorities find burned pickup near Big Bear,"February 7, 2013",Feb. 7,"http://maps.googleapis.com/maps/api/staticmap?center=34.227416,-116.882&zoom=9&size=300x300&maptype=roadmap&markers=color:blue%7C34.227416,-116.882&sensor=false",Photo: Google Static Maps API,About 8:30 a.m. reports surface that authorities are investigating a burned pickup truck near the Big Bear ski area in the San Bernardino Mountains. A San Bernardino County sheriff's deputy says there have been no sightings of Dorner but local school officials decide to put schools in lockdown. (AP),http://www.dailynews.com/ci_22538891?source=TOPHEADER
