title,date,display date,photo url,caption,body,read more url
Prop 8 backers file motion to overturn ruling based on judge's admission he is gay,"April 25, 2011",April 25,http://a.scpr.org/i/29717d1e72d8e3b63d6003ecdbe5e460/9050-four.jpg,"Chief District Judge Vaughn R. Walker of the Northern District of California, speaks at a legal conference in Seattle on Friday Nov. 19, 2010.","Sponsors of California's same-sex marriage ban file motion arguing that federal judge Vaughn Walker, who struck down Proposition 8, should have recused himself as someone who was in a long-term relationship with another man. They call on a federal judge to vacate Walker's ruling.",http://www.scpr.org/news/2011/04/25/26142/judges-partner-cited-prop-8-case/
San Francisco marriages voided by state supreme court,"August 12, 2004",Aug. 12,http://a.scpr.org/i/915895d9cb18d0859c3e1d89e71d476a/51741-wide.jpg,"Reaction to the ruling by the California Supreme Court on the validity of same sex marriage in San Francisco on August 12, 2004.",The California Supreme Court rules San Francisco Mayor Gavin Newsom overstepped his authority in granting marriage licenses to same sex couples in the city and declares the licenses issued by the city void.,http://www.sfgate.com/politics/article/Newsom-unbowed-by-decision-says-he-is-more-2702196.php
Federal judge rules Proposition 8 unconstitutional,"August 4, 2010",Aug. 4,http://a.scpr.org/i/a89ee9ee7c507ed32922df860a17d65d/5172-four.jpg,"Mark Hiebert holds his 4-year-old son, Logan, while his 6-year-old daughter Amira waves a rainbow flag at West Hollywood Park.","Chief U.S. District Judge Judge Vaughn Walker rules Proposition 8 is unconstitutional under both the due-process and equal-protection"" clauses. ",http://www.scpr.org/news/2010/08/04/18015/judge-rules-prop-8-unconstitutional/
San Francisco Mayor OKs same sex marriage,"February 12, 2004",Feb 12,http://a.scpr.org/i/fec9605fe55fc309f2431bb1bc9759e0/51569-wide.jpg,"Hyde Revilla (right) and her partner Dawn Revilla (second from right) standing together after applying for their marriage license at the City Hall clerk's office in San Francisco on February 17, 2004. ",San Francisco Mayor Gavin Newsom asks the county clerk to begin issuing marriage licenses to same-sex couples who apply.,http://www.sfgate.com/news/article/Same-sex-weddings-start-with-union-of-elderly-San-3208657.php
Conservative groups immediately sue to halt weddings,"February 13, 2004",Feb 13,http://a.scpr.org/i/279ab35fd22e580cb9b9e100f77bd7cb/51570-wide.jpg,"Robert Tyler (right) and Benjamin Bull, the attorneys representing conservative group Campaign for California Families, talk with reporters at the San Francisco Courthouse, 17 February 2004.","Campaign for California Families and the Proposition 22 Legal Defense Fund immediately file suit to prevent same-sex weddings in the state, and seek a restraining order to prevent the city from issuing licenses to same-sex couples. ""The unfortunate fact is that these people who think they are married may find out Tuesday they are not,"" Richard Ackerman, an attorney for Campaign for California Families, told Newsmax.",http://archive.newsmax.com/archives/articles/2004/2/13/141342.shtml
San Francisco sues state for discrimination,"February 19, 2004",Feb 19,http://ww2.hdnux.com/photos/10/32/53/2206429/7/628x471.jpg,San Francisco City Attorney Dennis Hererra (left) and Sf Chief deputy Attorney Therese Stewart answer questions for the media after they have filed a lawsuit against the State of California regarding same-sex marriages on Feb. 19 2004 in San Francisco.,"Taking on Proposition 22, the city sues California, as well as conservative groups that had previously brought a suit against the city for performing same-sex marriages, for discriminating against gays and lesbians in defining marriage as between a man and woman. ",http://www.sfgate.com/news/article/S-F-sues-over-legality-of-same-sex-marriages-2793743.php
Federal Appeals Court upholds ruling against Prop 8 ,"February 7, 2012",Feb 7,http://a.scpr.org/i/9a3fe4c299c7e09bd7c0521661d29f1f/33489-wide.jpg,"Frank Capley-Alfano (left) and Joe Capley-Alfano kiss as they celebrate outside of San Francisco City Hall on February 7, 2012 in San Francisco, California. ",The U.S. Ninth Circuit Court of Appeals declares California's voter-approved ban on same-sex marriage unconstitutional in a 2-1 decision. A stay on same-sex marriages in the state remains in place.,http://www.scpr.org/news/2012/02/07/31158/prop-8-ruling-unconstitutional/
"Prop 8 backers call on Supreme Court to rule on gay marriage

","July 31, 2012",July 31,http://a.scpr.org/i/d6266de1e885804456427f28e34e0765/51744-wide.jpg,"Same-sex marriage proponent Kat McGuckin of Oaklyn, New Jersey, holds a gay marriage pride flag while standing in front of the Supreme Court November 30, 2012 in Washington, DC.",The U.S. Supreme Court is asked to weigh in on the Prop 8 decision. ,http://www.scpr.org/news/2012/07/31/33554/prop-8-backers-call-supreme-court-rule-gay-marriag/
"Governor Schwarzenegger, Attorney General Brown refuse to defend Prop 8 ","June 12, 2009",June 12,http://a.scpr.org/i/c634f731597a3297aba1cb877b61e8ec/51738-wide.jpg,"Cameras follow actor Arnold Schwarzenegger as he enters the Los Angeles Unified School District board meeting October 8, 2002 in Los Angeles, California. ","Governor Schwarzenegger's filing: “In a constitutional democracy, it is the role of the courts to determine and resolve such questions. … The Administration encourages the Court to resolve the merits of this action expeditiously.” Attorney General Jerry Brown’s filing: “Taking from same-sex couples the right to civil marriage that they had previously possessed under California’s Constitution cannot be squared with guarantees of the Fourteenth Amendment.”",http://articles.latimes.com/2009/jun/18/local/me-gay-marriage18
Federal judge upholds Walker's ruling striking down Prop 8,"June 14, 2011",June 14,http://a.scpr.org/i/53f5d61bf989f073d3dd6b242880b580/51745-wide.jpg,,Federal judge James Ware concludes Walker had no obligation to reveal his relationship or recuse himself from the case challenging Prop 8’s constitutionality. Ware compared forcing a gay judge off a case about same-sex marriage to forcing minority judges off “most if not all” civil rights cases. ,
